Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"MM_[-60,-30)_[-20,5)_NBS"
CDW,"June 30, 2015",110,A1,-0.00482025455236|-0.00320073585269|-0.0107231289118|-0.00113587074218|-0.00350862695015|0.00540140320508|0.00859834153738|-0.00766942839324|-0.00369711497732|-0.00337362165556|-0.00771336068809|0.00620026570848|0.0142730885311|-0.0187915769583|0.00109109225224|0.00162649215306|-0.0135591447186|-0.00262348969264|-0.032012096767|-0.012093051618|-0.0126577617729|0.0103341257944|-0.00436474318849|-0.0103301151518|0.00634916058458@0.0115079564197
INTC,"December 28, 2016",343|23,A1,-0.00749374052326|0.00180928457475|-0.00930980685179|0.0105167874066|0.00412595137322|0.00850271376856|0.0120086831997|0.00986039951966|-0.00248108288481|0.00648229253224|0.0137159841519|7.3774110147e-05|0.00554181953135|-0.0131548785953|0.0155324768097|0.0108341472674|-0.00183110212694|0.0028767743756|-0.00275392942873|0.00216194844491|-0.00186905484682|0.000193314853317|-0.00313693606541|0.000171507613766|-0.0125066847829@0.0130084968316
IBM,"March 7, 2017",53,A1,-0.000535218180184|0.0131930502785|-0.0069748263486|0.000159332802544|0.00434771562226|-0.00708805763298|-0.00551735261452|0.00295161020193|-0.00166024542504|-0.00619701935763|-0.0119932302477|0.00276017940015|-0.00262320410254|-0.00171923033679|-0.00756201309581|-0.00272258406805|-0.00708856007241|0.000230985099099|-0.00593578225112|0.0052227465618|0.00237816412297|-0.00077050783742|-0.0156047201988|0.00117494786346|-0.00712201535583@0.00651969057573
BBRY,"February 27, 2017",19|382,A1,-0.0111205830992|-0.00734888415216|0.00391689724842|-0.00687661755587|0.00352382557545|-0.0101054174584|0.0080353860745|0.0225574847959|0.0158800705054|0.00227297475737|0.00759798516092|-0.00281527905948|-0.00911060134307|0.00378556531992|-0.00251339197574|0.0204539190142|-0.0282403072114|-0.0069452903156|-0.00734656521621|-0.0080580823903|0.00213955025739|-0.0113421047147|-0.0267832587606|0.0146906639297|0.000496521922727@0.0147095289868
AAPL,"August 16, 2016",14,A1,-0.000423742107355|-0.00634107290776|-0.00145858562017|-0.0111197903824|-0.0119710572218|-0.000154336443383|0.0663150423258|0.00773596203215|-0.0022850197246|0.0150482445247|-0.0101171133167|0.0166582550684|0.00467985043835|0.0148530557044|0.0128679687615|0.00186746374335|-0.00781023728467|-0.00445425175906|0.0025362016889|0.015989678378|0.00750939474897|-0.00447487976823|0.00128035258528|0.00400540529849|-0.00788087046435@0.00745892143617
AVID,"March 1, 2016",145,A1,0.015862096404|-0.0350098043002|0.00444769457787|0.0395197598322|-0.0114885145064|-0.0641021927381|-0.0520551794378|0.0144099780581|-0.0113531980602|-0.0275819829291|0.0329449519556|0.00260946668713|-0.00987890756366|-0.0101725160661|0.00340272362767|-0.0451904463844|-0.0224148012421|-0.0580789113076|0.0180187969631|-0.0125425262379|-0.103927166579|-0.00838285091094|-0.0511540327443|-0.0458706413396|-0.0722153555563@0.0334777399971
V,"February 9, 2016",6,A1,0.0129149089566|0.00199495814143|0.00584024501393|-0.0091617222482|-0.00119185743623|-0.00813604792179|0.00680559929166|0.00583475938922|-0.00702434462877|0.00496923451319|-0.0137898990534|-0.00241927738306|-0.0293265815342|0.0442910337381|-0.00264798948867|0.00853533781307|0.00619765615195|-0.0126635173141|-0.010244216281|-0.0377401645102|0.00690776819777|0.0271447443067|-0.0102860328044|0.00312571669|-0.00973181587921@0.00500436771317
CNXN,"June 30, 2015",110,A1,-0.012796429912|-0.00125156706485|-0.0159056067228|-0.000490067397893|-0.0105257392732|-0.0026057325592|0.000712752249815|0.00354833519458|-0.00794499059741|-0.0147331816303|0.0315376678968|-0.0177357309917|0.0111050609871|0.0445329607712|-0.0486519000989|-0.00383788170456|-0.00311507012215|-0.00684210210984|-0.0149889537492|0.0364886776011|-0.0187918556813|0.00791203057987|-0.0152572210808|-0.0059297644497|-0.00949629488035@0.0134356195068
FB,"July 16, 2014",7,A1,-0.00229654181801|-0.00484567082139|-0.0228508135047|-0.00281364209174|0.0159513170336|0.025982782931|0.00959209988507|0.000303202283605|-0.00562507899763|-0.00460097396434|-0.0179057391986|-0.0241755188271|-0.0199352268596|0.013809876237|-0.0016088966528|0.0201142029405|0.0161424705709|0.0143172329034|0.00738432102635|0.0163395891097|0.00391977607383|0.0231314444454|-0.0129163758031|0.023846409338|-0.0232636189113@0.0135086739244
JNJ,"January 14, 2014",5,A1,0.00171177549392|-0.00168337910014|-0.00564543903441|0.0104294730912|-0.00997416464374|0.00227647394229|-0.00304878651976|-0.00248319680533|0.00261895427987|-0.00396682428442|0.000424798253499|-0.0116916573431|-0.00344703506522|0.00899834327282|0.00321755306256|0.0199611409698|-0.0017249981388|0.00766857580013|0.00379080700015|0.00342048103527|-0.00225889779636|-0.00326993541738|0.00259657973487|0.00580752552782|-0.0117409516288@0.0045191495464
