Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-60,-30)_[-20,5)_BS"
CDW,"June 30, 2015",110,A1,-0.00332733677949|0.000979193739115|-0.0105827375771|0.0029323905815|-0.00305004919964|0.00453227729108|0.00914140493968|-0.00789352768741|-0.00161918635922|-0.00237386193178|-0.00689854807979|0.00631663604629|0.0155865262063|-0.0160107046273|0.00221698607463|0.00278677449283|-0.0137230568837|-0.000397073628269|-0.0329902551289|-0.0130296621317|-0.00996094920468|0.00725443062143|-0.0058967976181|-0.00900023373672|0.00505116910583@0.0112874786154@0.00379587074922|0.0075668755488|0.0187655136696|0.00887846358871|-0.00121571144772|0.0025636954454|-0.0126829969041|0.00909112775891|-0.00739190159195|-0.00554100279657|0.00870610573617|0.0106418672699|0.00309580611367|0.000901619223665|-0.00518558096609|-0.00248406053101|-0.00165804594921|-0.00251365019967|-0.00365936382984|0.00455002526539|0.00233858912859|0.00519752432961|-0.00482609173356|-0.0461454997248|-0.0127428702255|0.00163034065056|0.00665544542878|0.00109615099905|0.00583367860838|0.00473807638562
INTC,"December 28, 2016",343|23,A1,-0.00494859822641|-0.0123450807292|-0.0210921077088|0.0139361705954|0.00333808996205|0.00902656222899|0.0117879675038|0.0058164835825|-0.00172493622927|0.00967418692317|0.018774279611|0.00419403750713|0.00506820908146|-0.00849890496142|0.0163184289696|0.0074207223908|-0.000731568327849|0.00305050830539|0.00227074656698|0.0028671183267|-0.000918990084407|0.00370484103748|-0.00434489122695|0.00404270377406|-0.00851754201416@0.0132293923731@0.00269970391437|0.00461845378248|0.0101300516007|0.00406539756174|0.00690986200755|-0.00467268310902|-0.00445894564977|-0.00242219791959|0.00164825705359|0.0150417929862|0.00188396982245|0.00863390315034|-0.0611921773042|0.00228859549331|-0.00574295142297|0.00151155563033|0.00149460100119|-0.000454953715729|0.00219681700437|0.00363043184648|0.00634943201545|-0.000101293701499|0.0110575359986|-0.00472813941956|-0.00570375301032|0.0123134788141|-0.000424175378904|-0.00767336297246|-0.00706890784342|0.00816970176415
IBM,"March 7, 2017",53,A1,0.00175783970463|0.0138026649429|-0.00757263656739|-0.00268705388464|0.00227995289374|-0.00413559299448|-0.00176121364384|0.000923641432281|-0.0010761721872|-0.00707949380933|-0.01087450226|0.00527410389422|0.0010523612341|-0.00413179380923|-0.0136749424847|0.0050666660235|-0.00726956256508|-0.000366623054285|-0.00430389525972|0.00542498642224|0.00260781171649|-0.0035484122794|-0.0152086027694|-0.00174158429555|-0.00921177710406@0.00697127415575@0.00945402419205|-0.000570448388728|-0.00172307538215|-0.00545426823083|0.00717822780659|0.0113596718109|-0.00911639150475|-0.00595612916256|-0.0039683876767|-0.000360694796051|0.0012256467274|-0.000163711117803|-0.00483210672297|-0.00148975402187|0.00436704074461|0.00193994201717|0.00031755979625|-0.00360672977696|0.00371017783393|-0.00308779015666|-0.000591710752251|-0.00763171877702|-0.0136025103449|0.00886574880282|0.00367094477024|-0.00746163555122|0.00709411793485|-0.0102245694879|0.00411085282754|0.016547676587
BBRY,"February 27, 2017",19|382,A1,-0.0118473616306|-0.00885350578593|0.00417484743116|-0.00641215603086|0.00177695330202|-0.00637723985252|0.0064189560831|0.0209595611767|0.01344889414|0.00451082571757|0.00837013690194|-0.00313055981907|-0.00802077061305|0.00258514877668|-0.00301942494544|0.0194423824613|-0.0281124026821|-0.00718065902037|-0.00935816448571|-0.0102589293462|0.00341249065601|-0.013724620419|-0.0257175689184|0.0109365520981|0.000363172365184@0.014521588427@-0.00260083677854|0.0414432683819|-0.0174754701005|0.0112499176636|-0.00127899445633|-0.00809368125409|-0.00652671942107|0.0253053526667|-0.00782264412611|-0.0022726889627|0.00288842287101|-0.00321753165712|-0.0118852761892|-0.00136222741165|0.0167912199633|-0.0300284173502|-0.0207279973351|-0.0130566490547|-0.0204215442361|0.00789908442386|0.00217461421393|-0.00423407918591|-0.00122073833818|0.00274421845497|0.0161766024661|0.0050909987598|0.0035550604665|0.00138090047242|0.00264198052869|0.0128838545249
AAPL,"August 16, 2016",14,A1,0.00157267055638|-0.00225058028052|-0.00183076547831|-0.011193846096|-0.0108743108004|-0.00697095127563|0.0641495105816|0.012768235797|-0.00227356384879|0.0185175816947|-0.00921951979045|0.0103422118499|0.00559119486475|0.00860465742149|0.00906648918962|0.0038754454011|-0.00507865508013|-0.00419741584241|0.00336216935913|0.00985954429023|0.0037309139025|-0.00271312281533|-0.00283484167858|0.00410859706556|-0.00744291960534@0.00753813185729@0.00582700652382|0.0140887124401|0.00468407794852|0.0120864199764|0.00798103136221|-0.00386275158574|-0.00298092642364|-0.0155084449251|-0.00976323889454|0.00486714597118|0.00330312079751|0.00306477083185|-0.00330806618922|0.00861443886437|1.97856518138e-05|-0.00839727631915|0.00319974563474|-0.0018009628828|0.00204229753679|-0.0195795711965|-0.00746061020158|0.00643336581549|-0.00207409674352|-0.00475544961092|0.00239632107896|0.000762248515537|0.0020779352853|-0.00517613740746|0.001622633278|0.00159647486757
AVID,"March 1, 2016",145,A1,-0.0110737654377|-0.0433398657108|0.020310864894|0.0672777531875|0.0181602060022|-0.0287426395297|-0.0660144774062|0.00524031642895|-0.0370477360642|0.00917822548171|0.0467352610756|-0.00372032682282|0.00453359789089|-0.00665491988531|0.0176157614567|-0.0399871814449|0.000251990054501|-0.0505654879161|0.0624768852847|0.0246092271946|-0.0965056852122|0.0427630133001|-0.00483093076952|-0.0163354558193|-0.00765013798589@0.0372480051057@-0.00423600313173|-0.0124618894765|-0.0725871207665|-0.00383385078741|-0.0246850521176|0.0189172512678|0.0175790102385|-0.0138056453735|-0.0392898203674|-0.0302336655752|-0.00982130665598|-0.0272329518829|0.0120378559865|-0.011020079379|0.0142023031342|0.144792416755|0.0172785283308|-0.0253899247873|-0.0212132489711|0.001514401218|0.00804293273038|0.0194801546408|0.0380604623252|-0.00304189109629|-0.005608994325|-0.00602941340991|-0.0436835502606|0.000299871818189|0.0301446791162|0.0318245408024
V,"February 9, 2016",6,A1,0.0131552128536|0.00205498647689|0.00719015794823|-0.00934845605965|-0.0015666737729|-0.00755623705769|0.00521301789667|0.00598987338974|-0.00777409989956|0.00464159472887|-0.0137372192612|-0.000662163547778|-0.0284608094535|0.0437953594585|-0.000913658508405|0.00812289099194|0.00642331553382|-0.0111442850999|-0.00686509712937|-0.038164441097|0.00830856470678|0.0294881305162|-0.00880357011711|0.00438568493296|-0.00979920316777@0.00506700837787@0.000961959099692|0.00551507592715|0.0107749853083|-0.00742437105948|0.00010684289191|0.00222061945056|-0.00271037379657|-0.00360804057083|0.000483636226747|-0.00542372877667|-0.00257734879732|0.00231686350161|-0.00544877997245|0.00038288612921|0.00117668383655|0.00708035088816|0.00417376224327|-0.00338764228408|0.00196567669919|-0.0058994934844|0.000207982586145|-0.00306314478086|0.00419156174246|0.0104534830552|-0.00117705059715|0.00332000903586|-0.0094415940047|0.00162163950907|-0.00769275730993|0.000900307303383
CNXN,"June 30, 2015",110,A1,-0.00915132123561|0.014580479153|-0.0120387018184|0.0137980111937|-0.00646908846617|-0.0079758848168|-0.00200888948908|0.00321721798049|0.000905629004981|-0.00855099182004|0.0328879795386|-0.0135041925083|0.0160313393965|0.0577814761753|-0.0461092510972|-0.00148615484417|-0.00162565049868|0.00366882973178|-0.0210332796698|0.0390489271221|-0.00558986733828|-0.0044197129478|-0.0200523812417|0.00420699075942|-0.0139260620529@0.0153760386224@-0.0034857586946|-0.0183428426379|0.0178359555963|-0.0138482622977|0.0114249215307|0.00890115007457|-0.0329386227668|0.00348743701426|-0.000308506674125|-9.56582232362e-05|0.0168638646122|0.0172759256666|0.0189136204998|-0.0105892837732|-0.0230372617205|-0.000747826831328|-0.0129049804739|-0.0148145540865|-0.0169267315039|0.00459890848141|-0.00244291047566|-0.00118344937136|0.0253155796929|-0.00296399862626|-0.0107840404534|0.00890837942419|0.00116521401355|0.0107343762478|-0.0124511944987|0.0324405502547
FB,"July 16, 2014",7,A1,-0.00535524935331|-0.00784720786694|-0.0215641793302|-0.00322409890083|0.0167906100694|0.0310927356524|0.0104537494202|0.00038245072726|0.00160232393648|-0.000406324669563|-0.0124292531156|-0.0256960657253|-0.0193378416885|0.000593294913908|-0.0121762759406|0.0193641069609|0.0161136351814|0.0192490883827|0.00586118665657|-0.00130435600722|-0.00493574358665|0.0281124469315|-0.00762010411417|0.0237230098417|-0.0166286583807@0.016496087327@0.0269082145152|0.0133328410439|-0.0155153267333|-0.0137137393494|-0.0190183237905|-0.0377111168785|0.0192703888367|0.0182331141505|0.024443048602|-0.00355703415815|0.00723524358836|-0.00865760758835|-0.0403618527576|-0.00468776596558|0.00480759180844|0.00868282208632|-0.00129254370978|0.010632864019|0.0142111708456|-0.00957468066421|0.00822339582103|0.0158168616416|0.00192069412584|-0.0067744683101|0.000222991736145|0.0124397072526|0.00552116677058|-0.0128892862856|-0.012416756118|-0.00573161453482
JNJ,"January 14, 2014",5,A1,0.00149474768924|-0.00395017573604|-0.00664800748856|0.0113682335698|-0.00714604171033|-0.00274034705387|-0.00431987529018|-0.00156467646529|0.00167815583543|-0.00267561872401|-0.00109999800665|-0.0110470731674|-0.00133070990615|0.0084092265275|0.00620456219554|0.0168880125966|-0.00215401299546|0.00501394232027|-0.00208528203875|0.00439715779163|-0.00446297578563|-0.0028509968135|-0.00160362964772|0.00617692638159|-0.0132080169271@0.00492322549991@0.00497176218133|-0.00816644874246|-0.00538730630388|0.00871815836458|-0.00075191819828|0.000181423768033|-0.00605061387759|0.00170119049969|0.00442147897767|-0.00159631612589|-0.000984677087993|0.00617079583454|-0.00628817997625|-0.00122240099134|-0.00105960301866|0.00278484189527|0.00632660599845|0.00180169965096|-0.00727249274749|-0.00753084768102|0.00272550267448|0.00188211619608|0.000380091874235|0.0065019627399|0.00417542161268|-0.0046761745769|0.00400558553679|0.00389451946818|-0.0067862037509|-0.00286997419421
