Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0
PHG,"July 28, 2016",0
AAPL,"June 27, 2014",0
AAPL,"June 27, 2014",1
HON,"October 11, 2016",1
AAPL,"May 4, 2016",1
XLNX,"February 12, 2016",0
MMM,"January 13, 2016",1
AAPL,"March 1, 2017",0
LLNW,"August 4, 2015",0
AAPL,"November 5, 2015",1
NOK,"December 3, 2015",0
SYMC,"November 16, 2015",0
SQ,"April 14, 2016",1
ABBV,"April 8, 2015",1
GEVO,"November 16, 2012",0
ERIE,"March 7, 2017",0
AAPL,"March 3, 2014",0
SLAB,"November 8, 2016",1
ENZ,"March 16, 2015",0
CSCO,"August 29, 2013",1
GE,"December 17, 2015",1
COST,"January 20, 2016",1
AAPL,"May 17, 2016",1
HPQ,"August 9, 2016",1
MSFT,"May 5, 2014",0
INTU,"November 16, 2015",0
ADBE,"June 16, 2015",0
HPQ,"June 23, 2015",1
TNAV,"November 18, 2014",0
DECK,"February 7, 2017",0
HOG,"April 25, 2016",1
KYO,"February 9, 2015",1
BMY,"January 13, 2016",1
HPE,"March 14, 2017",1
AMGN,"July 5, 2016",1
ADBE,"December 4, 2014",1
TILE,"February 8, 2016",1
COF,"September 4, 2015",1
AMZN,"December 17, 2015",1
EBAY,"May 23, 2017",1
NOK,"December 16, 2015",0
ORCL,"June 6, 2017",1
NUVA,"June 3, 2016",0
MSFT,"March 19, 2013",1
AAPL,"November 16, 2015",0
F,"February 18, 2015",1
HLIT,"March 1, 2016",1
NOK,"December 4, 2014",0
AMGN,"December 5, 2014",1
JNJ,"July 8, 2015",1
XLNX,"May 1, 2013",0
HPQ,"May 10, 2013",1
AMTD,"October 11, 2016",1
INTC,"August 22, 2014",1
AAPL,"February 17, 2017",0
BDX,"May 9, 2016",1
MSFT,"December 7, 2016",1
TWTR,"November 14, 2014",1
SPLS,"February 8, 2016",1
LLY,"July 8, 2015",1
INTC,"December 3, 2015",0
NUVA,"August 9, 2016",0
CSCO,"December 28, 2015",0
MSI,"December 5, 2014",1
MSFT,"June 23, 2015",1
TWTR,"February 17, 2017",1
TXN,"January 14, 2014",1
AVID,"January 29, 2016",0
CBS,"February 1, 2016",1
GLW,"September 16, 2015",1
SPPI,"October 2, 2015",1
AMZN,"December 7, 2016",1
BMY,"April 8, 2016",1
RHT,"November 21, 2016",0
AAPL,"August 1, 2016",1
CSCO,"May 1, 2013",0
MSFT,"May 9, 2014",0
BSX,"May 13, 2013",0
AAPL,"May 26, 2016",1
COST,"February 12, 2016",0
EVBG,"August 30, 2013",1
IBM,"March 7, 2017",1
DEPO,"March 24, 2016",1
MSFT,"November 8, 2013",1
EBAY,"October 2, 2013",0
SHLD,"July 30, 2015",0
HPQ,"November 12, 2015",1
HSNI,"January 6, 2017",1
LYV,"November 29, 2016",0
CRDS,"June 6, 2017",1
LB,"April 27, 2015",0
INTC,"December 4, 2014",0
ALGN,"July 18, 2014",0
BBRY,"February 27, 2017",1
WTW,"November 9, 2015",1
BIG,"January 17, 2014",1
AAPL,"December 9, 2016",1
INTC,"January 14, 2014",1
BBRY,"January 10, 2017",1
DD,"November 16, 2012",0
HON,"February 12, 2014",1
INTC,"November 16, 2015",0
BONT,"February 10, 2015",0
EW,"January 22, 2014",1
YHOO,"July 22, 2013",1
AAPL,"September 30, 2015",0
LLY,"July 9, 2015",1
IBM,"March 27, 2017",0
MSFT,"August 12, 2016",1
TWTR,"May 12, 2017",1
NOK,"September 14, 2015",1
MSTR,"April 3, 2015",0
ESS,"March 4, 2013",0
USB,"August 8, 2016",1
SNPS,"March 16, 2017",0
AAPL,"August 13, 2015",0
RHT,"November 18, 2013",0
CAJ,"February 2, 2015",0
IBM,"April 7, 2017",1
EBAY,"January 18, 2017",1
COF,"May 17, 2016",1
ALLY,"February 21, 2017",0
NOK,"July 18, 2013",1
GWRE,"September 5, 2013",1
WILN,"December 11, 2012",1
