Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
PHG,"July 28, 2016",0,ERROR
AAPL,"June 27, 2014",0,0.0014468922101621947
AAPL,"June 27, 2014",1,0.0014468922101621947
HON,"October 11, 2016",1,-0.05544275506326562
AAPL,"May 4, 2016",1,-0.14298168291022118
XLNX,"February 12, 2016",0,0.1199281659549447
MMM,"January 13, 2016",1,-0.0945612453463301
AAPL,"March 1, 2017",0,0.1232506075729349
LLNW,"August 4, 2015",0,-0.06815288823722633
AAPL,"November 5, 2015",1,0.09647478360366997
NOK,"December 3, 2015",0,-0.018642372385540545
SYMC,"November 16, 2015",0,-0.04949070756568747
SQ,"April 14, 2016",1,0.2279853672678509
ABBV,"April 8, 2015",1,0.05055467082651211
GEVO,"November 16, 2012",0,-0.2910547569304202
ERIE,"March 7, 2017",0,0.060713212949518564
AAPL,"March 3, 2014",0,0.05755714644511629
SLAB,"November 8, 2016",1,0.024238562912719645
ENZ,"March 16, 2015",0,0.0030257209165370363
CSCO,"August 29, 2013",1,-0.08733121906005288
GE,"December 17, 2015",1,0.02153414678196297
COST,"January 20, 2016",1,-0.06565094774857012
AAPL,"May 17, 2016",1,-0.12921740218110866
HPQ,"August 9, 2016",1,0.08027652861367902
MSFT,"May 5, 2014",0,-0.032716806963605564
INTU,"November 16, 2015",0,0.0306095911806291
ADBE,"June 16, 2015",0,-0.00025340261192495755
HPQ,"June 23, 2015",1,-0.08678979154140393
TNAV,"November 18, 2014",0,0.14161826368045075
DECK,"February 7, 2017",0,-0.21541145532415024
HOG,"April 25, 2016",1,0.014726000146400308
KYO,"February 9, 2015",1,0.0043955235605258325
BMY,"January 13, 2016",1,-0.05834564802654553
HPE,"March 14, 2017",1,-0.0692438600445801
AMGN,"July 5, 2016",1,-0.03132927488426621
ADBE,"December 4, 2014",1,0.02925685275225712
TILE,"February 8, 2016",1,-0.05082197850328508
COF,"September 4, 2015",1,-0.06333946449082473
AMZN,"December 17, 2015",1,0.04924165129566997
EBAY,"May 23, 2017",1,0.054937254072931256
NOK,"December 16, 2015",0,-0.0449515919874675
ORCL,"June 6, 2017",1,ERROR
NUVA,"June 3, 2016",0,0.07676403520879883
MSFT,"March 19, 2013",1,0.011453413242476073
AAPL,"November 16, 2015",0,0.015910816284710277
F,"February 18, 2015",1,0.08021002748185754
HLIT,"March 1, 2016",1,0.015037877364541102
NOK,"December 4, 2014",0,0.012240176009533477
AMGN,"December 5, 2014",1,0.05058287867503618
JNJ,"July 8, 2015",1,0.009752174721534917
XLNX,"May 1, 2013",0,0.016758006757656912
HPQ,"May 10, 2013",1,0.014265431708541717
AMTD,"October 11, 2016",1,0.09091870003440825
INTC,"August 22, 2014",1,0.03256786699605803
AAPL,"February 17, 2017",0,0.12653353301998113
BDX,"May 9, 2016",1,0.06387538981686645
MSFT,"December 7, 2016",1,-0.0010763813822316933
TWTR,"November 14, 2014",1,-0.1861022546588358
SPLS,"February 8, 2016",1,-0.0971427497679597
LLY,"July 8, 2015",1,0.12224489996255503
INTC,"December 3, 2015",0,0.02206181097191115
NUVA,"August 9, 2016",0,0.007282174749183996
CSCO,"December 28, 2015",0,0.005126210302950244
MSI,"December 5, 2014",1,0.011414412671028752
MSFT,"June 23, 2015",1,-0.01438885855559781
TWTR,"February 17, 2017",1,-0.026555633305446705
TXN,"January 14, 2014",1,-0.004252221000312695
AVID,"January 29, 2016",0,-0.05813117656257063
