Stock_Ticker,Decision_Date,Last_Filing_Days,Category
ITGR,"February 9, 2017",3,A1
FB,"May 17, 2016",1|13|435,A1
FDX,"May 9, 2017",4,A1
ODP,"June 30, 2015",110,A1
ADSK,"April 12, 2016",4,A1
EA,"December 7, 2016",33,A1
AAPL,"May 17, 2016",1|265,A1
MMM,"January 13, 2016",125,A1
DD,"August 19, 2016",72,A1
AAPL,"August 1, 2016",55|271,A1
INTC,"January 14, 2014",4,A1
ALG,"May 26, 2016",217|231,A1
HPQ,"July 9, 2015",141,A1
LLY,"July 8, 2015",75,A1
UEIC,"October 17, 2016",370|13|264,A1
CSCO,"August 8, 2014",4,A1
EVBG,"August 30, 2013",51,A1
XLNX,"October 9, 2015",2,A1
ATHX,"May 7, 2015",37,A1
SUPN,"December 12, 2016",4,A1
HPQ,"September 14, 2015",33,A1
NATI,"August 11, 2014",6,A1
AMZN,"November 26, 2014",20,A1
MMM,"February 10, 2016",217,A1
TWTR,"May 17, 2016",1|13|418,A1
MSFT,"November 6, 2014",29,A1
YHOO,"July 22, 2013",14,A1
YHOO,"May 17, 2016",1|435,A1
XRX,"February 13, 2017",195,A1
F,"April 21, 2017",25|305,A1
TXN,"April 25, 2016",45,A1
PRSS,"November 10, 2016",6,A1
RTEC,"February 3, 2016",2,A1
NVS,"May 21, 2015",45|192,A1
GE,"December 17, 2015",7,A1
YHOO,"February 26, 2014",50,A1
PFE,"July 1, 2014",117,A1
AMZN,"November 9, 2015",5,A1
SYMC,"November 13, 2013",7,A1
CSCO,"May 31, 2016",210,A1
ILMN,"July 26, 2016",83,A1
NK,"May 3, 2017",83,A1
CNXN,"June 30, 2015",110,A1
SBH,"April 25, 2016",334|21,A1
JAKK,"June 11, 2014",6,A1
CBS,"September 30, 2016",179,A1
XLNX,"April 12, 2017",5,A1
PHG,"May 10, 2013",46,A1
MMM,"July 8, 2015",75,A1
MSI,"March 6, 2015",2,A1
TXN,"January 14, 2014",4,A1
AVX,"February 9, 2017",3,A1
ORCL,"June 6, 2017",91|260|385,A1
AAPL,"November 5, 2015",2,A1
AAPL,"May 26, 2016",175,A1
HPQ,"December 28, 2016",23,A1
GE,"July 8, 2015",75,A1
F,"March 27, 2017",14,A1
DEPO,"February 21, 2017",75,A1
ADBE,"April 8, 2016",288|2|284,A1
BAC,"January 27, 2014",54,A1
AAPL,"October 7, 2016",133|224,A1
BDC,"April 17, 2015",42,A1
TXN,"January 8, 2015",10,A1
AAPL,"December 9, 2016",32|310|368|462,A1
BDSI,"August 10, 2016",7,A1
MSFT,"July 11, 2016",3,A1
MSFT,"February 17, 2016",42,A1
NVDA,"April 25, 2016",21,A1
HPE,"March 14, 2017",4,A1
MMM,"July 9, 2015",141,A1
ADBE,"March 14, 2016",5,A1
CBS,"February 1, 2016",27,A1
ATHN,"April 12, 2017",5,A1
AET,"January 18, 2017",5,A1
XLNX,"February 1, 2016",27,A1
AMZN,"December 17, 2015",6,A1
EBAY,"March 19, 2013",13,A1
SNPS,"October 11, 2016",8,A1
OSTK,"May 10, 2013",46,A1
DD,"May 9, 2014",79,A1
HPQ,"April 25, 2016",21,A1
TGT,"February 10, 2016",8,A1
LLY,"July 1, 2014",117,A1
JBLU,"June 24, 2014",14,A1
NOK,"November 26, 2014",20,A1
TRIP,"May 17, 2016",1|435,A1
HPQ,"May 10, 2013",46,A1
TDA,"May 6, 2015",93,A1
HPQ,"November 14, 2014",36,A1
SPPI,"October 2, 2015",57,A1
CDW,"June 30, 2015",110,A1
AAPL,"August 16, 2016",14,A1
AVID,"March 1, 2016",145,A1
V,"February 9, 2016",6,A1
FB,"July 16, 2014",7,A1
NUVA,"May 10, 2017",253|2,A1
CSCO,"April 7, 2017",2,A1
ZNGA,"March 17, 2015",14,A1
TWTR,"May 10, 2013",46,A1
BMY,"January 13, 2016",125,A1
GILD,"December 8, 2014",3,A1
AMZN,"February 10, 2017",2,A1
BBY,"January 15, 2014",6,A1
ACTG,"December 3, 2013",18,A1
AAPL,"December 11, 2014",6,A1
BMY,"June 12, 2014",189,A1
MSFT,"April 7, 2017",2,A1
HPQ,"April 5, 2016",68,A1
PANW,"May 4, 2017",2,A1
TWTR,"February 17, 2017",11|249,A1
NVS,"April 12, 2017",112,A1
IDCC,"January 13, 2016",125,A1
AMZN,"September 23, 2016",79,A1
GLW,"September 16, 2015",5,A1
INTU,"May 10, 2013",46,A1
ILMN,"July 17, 2015",9|11,A1
YHOO,"January 13, 2017",3|267,A1
MON,"June 10, 2013",102,A1
