Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-60,-30)_[-20,5)_NBS"
ITGR,"February 9, 2017",3,A1,-0.00959903185012|-0.0366640665663|0.0151472329142|-0.0377253501451|-0.00908494293821|-0.0184664995523|0.0373795417405|-0.0256219468429|0.00652814656033|0.0151467742422|-0.0265806931912|0.0153590857938|-0.00881872022654|0.027733268246|0.020219056745|-0.0333720810788|0.0170214125153|-0.00507228040937|-0.0113712261736|-0.0111077416052|0.00408161892541|0.0116464823049|0.00257864360107|-0.00769594349618|0.0153606640375@0.0179474469888
FB,"May 17, 2016",1|13|435,A1,0.0134012335196|0.000522902867385|0.0155806739413|-0.0252717261363|-0.00177374386463|-0.0134820613124|-0.000688829906524|0.0802893326034|0.0138269595882|-0.000132951742282|0.000677441204532|0.0121263848265|-0.00145509352393|0.0104694675224|-0.0025854229201|-0.00303175478639|0.002916668235|0.00645373425879|0.00643578990692|-0.0202285605899|-0.000126987987651|0.00266565294168|-0.00279267603642|-0.00207182319385|-0.00984207954011@0.010826088527
FDX,"May 9, 2017",4,A1,0.00059680329044|-0.0117383141442|-0.0282718281904|-0.00404176114084|-0.00157686199363|-0.00544843269992|0.00314198881472|0.00539407253695|-0.00116568977656|0.00323023255566|-0.00501844886515|0.00495629996239|0.0108696911442|-0.00665172713147|-0.0104115168059|0.00457856040092|0.00724435339091|0.00589700080974|0.00182073110748|-0.00573911796023|0.000459128350815|-0.00709505333582|0.00942615019548|0.00746900458668|0.00926183822277@0.00954213433038
ODP,"June 30, 2015",110,A1,-0.00624001675192|0.00540574775588|0.00611448271799|-0.00146820446943|-0.0116538878086|-0.0025438555407|0.00280392099099|-0.00577859593362|0.00778145776947|-0.0119506966265|-0.00285039282926|-0.00704852297672|0.0138344797674|-0.00415453230755|-0.0070498480721|0.0068034583933|-0.0190995963554|-0.000767730238597|-0.000355285482668|-0.0143540855938|0.0062570648366|0.00584836907696|0.0126051643244|0.00699656002972|-0.00338625137559@0.00794354318685
ADSK,"April 12, 2016",4,A1,0.0054870702422|-0.00222292068248|0.00314981592292|-0.00770632441877|0.00793664866276|0.00542582433446|-0.000665179071757|0.00117821465584|0.00383811665962|-0.00389095747741|0.00513933583219|-0.011595674804|0.0129423825128|-0.0193943982428|0.0145396143072|0.000337093313943|-0.00548594742005|-0.00181355972763|0.00354776357306|0.00768362017033|-0.0312354593532|0.0157659390291|0.00798261972931|0.00942907175574|0.00178947820974@0.0270125958404
EA,"December 7, 2016",33,A1,-0.000849631162032|-0.037432202269|-0.0378172377348|0.00947482215677|-0.016091805048|0.00692774373581|0.015957165314|0.00344352358032|-0.00709504327732|-0.018211497331|-0.00988589615279|0.018431416297|-0.00737833846467|-0.00225497383357|0.0296374929907|-0.0255141514043|-0.0449964349301|0.001802476816|0.0133504997896|-0.0120773840389|-0.000454993771719|-0.00602614491758|0.00496996758023|0.0232246001085|-0.00631939282997@0.00957282035132
AAPL,"May 17, 2016",1|265,A1,-0.0108247620988|-0.00105225573068|-0.0070632458726|-0.00480782915182|-0.00587769512376|-0.0106607503292|-0.0689348782132|-0.0231515471355|-0.00771469929851|-0.0117830106537|0.0237933938487|-0.00641267144221|-0.0059216527019|-0.0116495614089|-0.00221500424767|-0.00879913653545|-0.00158918325265|-0.026121322205|0.00948378974835|0.0236557138558|0.00401322889822|0.00899272225341|-0.0020903650229|0.00182369316481|0.0120491362917@0.00846982948588
MMM,"January 13, 2016",125,A1,0.0121554461512|-0.0730049818329|-0.0024696946426|0.00603374169608|0.00280740310136|-0.00494708863284|0.000532175519802|0.00199759801042|0.000718515589443|0.00131585821973|-2.37461172125e-05|-0.000778795693613|1.93470467578e-05|-0.013489315339|0.00172944215941|-0.00945034389081|-0.00287753358897|0.00592818396933|-0.00217537115401|-0.00573921019014|0.00739109434973|0.00124556621575|0.00156345473824|-0.00444749533779|0.000700173969335@0.00764503026381
DD,"August 19, 2016",72,A1,0.00758120248466|0.0127767103694|0.00711634828821|0.00399523847189|0.00410571288738|0.000903139711871|0.00694172006429|0.00092856478347|0.00323240325021|0.00159021100028|0.000779908168507|0.00526590468275|-0.00431519085434|0.0100434052295|0.00312768342769|-0.0150836343274|0.0150357128514|-0.000267521823602|0.010285485893|0.0133128740485|0.00971354261151|0.00599713481234|0.00849929515901|0.00762229318486|0.00235392217585@0.0130960702643
AAPL,"August 1, 2016",55|271,A1,1.67269516801e-05|-0.00261506619788|-0.00143759582631|0.00413793801137|-0.00870510751263|-0.00141445782075|-0.00390547615904|-0.00631351634419|0.0129547424577|0.000515846895057|0.00694373404751|0.00067426838839|-0.00428001635368|-0.00212394847952|-0.0132934457273|-0.0114003578386|-0.00819274705765|0.0632608396737|0.0113950102489|-0.0037472352757|0.0175780946138|-0.00893455074989|0.00858308141072|0.00423775859961|0.00570230523322@0.00974173447681
