Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap(CAR>%)
ODP,"June 30, 2015",-0.09457792410515001,-0.8644488689375168,0.1761
EA,"December 7, 2016",-0.13234692510327,-1.8796629584769649,0.00387
MMM,"January 13, 2016",-0.0655362341181876,-2.0325455370124557,0.02186
DD,"August 19, 2016",0.01887884123776501,0.30357326126562384,0.63595
AAPL,"August 1, 2016",0.06341619477031053,1.078742826377976,0.86829
ALG,"May 26, 2016",0.029982735100796996,0.3404173169134405,0.65687
HPQ,"July 9, 2015",-0.018626657834984708,-0.2883024118730741,0.33858
LLY,"July 8, 2015",0.10871517923919999,2.5854964768348574,0.99545
ATHX,"May 7, 2015",-1.0922513422538902,-5.937880172887367,0.0
HPQ,"September 14, 2015",0.05817030178106602,0.9453589642568286,0.84932
MMM,"February 10, 2016",0.126904041716406,2.9184396168487425,0.99972
MSFT,"November 6, 2014",-0.017622215758049994,-0.4663431373236016,0.32847
XRX,"February 13, 2017",0.048747992243941,1.0071801166974708,0.84567
F,"April 21, 2017",-0.004022847921595005,-0.0776404550396373,0.48119
TXN,"April 25, 2016",-0.020925914237615993,-0.3340597850586642,0.39336
NVS,"May 21, 2015",-0.025717075505853906,-0.5345688850631224,0.29872
YHOO,"February 26, 2014",-0.079017714133434,-1.2661956092080098,0.09849
PFE,"July 1, 2014",0.0015620915328809998,0.03662869213813332,0.52239
CSCO,"May 31, 2016",0.03832774350935299,0.6507856572871773,0.80455
ILMN,"July 26, 2016",0.032873129129085,0.23312013884399732,0.52701
NK,"May 3, 2017",0.02272652680837001,0.143663060183814,0.56179
CNXN,"June 30, 2015",-0.00903951503001199,-0.13057280421536613,0.44207
SBH,"April 25, 2016",-0.09659517661376299,-1.005764583825564,0.13702
CBS,"September 30, 2016",0.09015139016491401,1.796426195941178,0.96812
PHG,"May 10, 2013",-0.13723858728238994,-2.4058596481769166,0.00428
MMM,"July 8, 2015",-0.006660105260098998,-0.24463544606559587,0.38575
AAPL,"May 26, 2016",0.03272250486665099,0.6045571172943668,0.72409
HPQ,"December 28, 2016",-0.07295302589461,-1.218221168010686,0.10396
GE,"July 8, 2015",-0.027032580429684202,-0.5259097157445675,0.31076
DEPO,"February 21, 2017",-0.130286478449424,-0.9107588216765984,0.16355
BAC,"January 27, 2014",0.08063719802787099,2.139472084709464,0.98065
AAPL,"October 7, 2016",0.0869429241829371,1.577855315454565,0.94536
BDC,"April 17, 2015",0.007974282528603008,0.13933904282660942,0.57091
AAPL,"December 9, 2016",-0.052941400856809,-1.06153162139247,0.13272
MSFT,"February 17, 2016",-0.042092851855705,-0.8234005346104126,0.18859
NVDA,"April 25, 2016",-0.035483897951022005,-0.3992270830521315,0.36709
MMM,"July 9, 2015",-0.010629002613518497,-0.39106848945705863,0.33227
CBS,"February 1, 2016",0.10722322759307998,1.89342082056973,0.97244
XLNX,"February 1, 2016",0.10091281935652,2.0769962664448545,0.97895
OSTK,"May 10, 2013",0.6545118704479699,4.650612481922859,0.99974
DD,"May 9, 2014",0.0003424014424360023,0.009813406195630184,0.50756
HPQ,"April 25, 2016",0.01881988065552,0.16830722291742853,0.55551
LLY,"July 1, 2014",0.009219645683086005,0.20033479913502428,0.60163
HPQ,"May 10, 2013",-0.051632642279107,-0.43940074447724115,0.29754
TDA,"May 6, 2015",0.0029019313991348016,0.11751713683723118,0.5476
HPQ,"November 14, 2014",-0.026887981184715,-0.5048671418317462,0.32327
SPPI,"October 2, 2015",-0.153578440063444,-1.4884297762273724,0.05848
CDW,"June 30, 2015",-0.066133723764029,-1.341055338793448,0.09002
AVID,"March 1, 2016",0.14803806421219998,0.6404702253377031,0.73806
BMY,"January 13, 2016",-0.029636183717757,-0.5544311059309711,0.28697
BMY,"June 12, 2014",-0.11314694079322667,-1.9863267664566664,0.02076
HPQ,"April 5, 2016",0.07155158529373203,0.6592696555683276,0.75573
NVS,"April 12, 2017",0.005347834919087201,0.11476498951745323,0.54345
IDCC,"January 13, 2016",-0.03325309890219211,-0.5018782874636405,0.31492
AMZN,"September 23, 2016",0.020040242246662003,0.32586616333921964,0.67027
INTU,"May 10, 2013",-0.120286475566677,-3.506090876305423,0.00024
MON,"June 10, 2013",-0.0820730151940296,-2.029715933512846,0.01881
TWTR,"November 14, 2014",-0.37729349220069996,-2.35591705317101,0.01119
DAL,"April 26, 2013",-0.11600458883286999,-1.3479596242532448,0.08597
INFN,"June 29, 2015",-0.024567347218799995,-0.21374145953446294,0.44227
F,"September 14, 2015",-0.0035476628000200034,-0.09387057572210485,0.46898
BMY,"April 8, 2016",-0.02205427651521801,-0.3761541917977082,0.35674
DEPO,"March 24, 2016",-0.29262943360199994,-1.3453578674704725,0.08931
JNJ,"July 8, 2015",0.021699760202842002,0.6718406007297617,0.7461
ITW,"January 13, 2016",-0.045707588992955996,-1.3841694809998923,0.08163
GE,"July 9, 2015",-0.038822257057485904,-0.7578866025676999,0.20036
IBM,"May 10, 2013",-0.050223499855659,-1.3430444336869536,0.08862
NVS,"April 4, 2017",0.008206652868443999,0.1762356252052588,0.56988
GRPN,"February 26, 2014",-0.26489557281000004,-1.7457643390412254,0.02943
LLY,"January 12, 2017",0.12206226206586501,1.9129266384296526,0.98603
RF,"September 25, 2014",0.015578629411209995,0.3792866344465292,0.65487
RCII,"April 25, 2016",0.070006555428644,0.3369550446798963,0.56468
INTC,"April 25, 2016",-0.048836208109858,-0.9412679611921922,0.15997
BKS,"April 25, 2016",0.01093633208879,0.07389042131321757,0.50752
NUAN,"February 22, 2016",0.0005973752326480092,0.006758049790090786,0.60919
BSX,"June 26, 2013",-0.030751457559580003,-0.5053844232690996,0.31609
CPIX,"January 26, 2017",0.03656944502960001,0.4583403117383691,0.68351
BMRN,"June 14, 2016",-0.013167151561049991,-0.10605606393104892,0.4558
BGCA,"May 10, 2013",0.02672914250754,0.5190450583066543,0.68952
TWX,"February 1, 2016",0.19652151368595003,3.127904537026793,1.0
LLY,"January 13, 2016",-0.0007907271802620004,-0.010723710940082086,0.49677
RHT,"November 14, 2014",-0.003568886872846605,-0.07378133919797326,0.46985
AAPL,"April 25, 2016",-0.011060875401973994,-0.19020965197142528,0.41457
INTC,"August 22, 2014",0.008563749379084001,0.21052596768494503,0.62956
ZNGA,"May 10, 2013",-0.10114735755036,-0.5158481184404929,0.30341
NFLX,"February 26, 2014",0.10285052904606298,0.9820201228028663,0.84198
ITW,"July 8, 2015",0.017211185056229896,0.6872783526044856,0.75561
ADBE,"September 14, 2015",-0.022538986184289997,-0.520248209212383,0.28834
TIME,"December 16, 2015",0.002514619158835992,0.0417112872035505,0.50923
HPQ,"December 2, 2015",-0.06627375813775296,-1.0828479381918448,0.13692
ABT,"June 26, 2013",-0.08085274782978999,-1.9282489623791252,0.02462
HON,"February 12, 2014",0.058894356556649,2.1883169591509932,0.98962
EW,"January 22, 2014",0.09570099463876999,1.6376367082865537,0.95769
INTC,"December 28, 2016",-0.005193505829124001,-0.12141547562203905,0.40119
AAPL,"July 7, 2014",-0.013965338817510001,-0.20879780305107734,0.40619
BCR,"January 13, 2015",0.019442777242482,0.4153809561257709,0.66323
ABBV,"August 21, 2014",0.009662816464410003,0.17658131817828157,0.56586
ADBE,"December 4, 2014",-0.0224760808702,-0.4283330191198618,0.33058
HLIT,"March 1, 2016",0.11657293313716,1.0503336885271974,0.86984
IPXL,"February 1, 2013",-0.030349771038092995,-0.31280997777399283,0.34326
