Stock_Ticker,Decision_Date,CAR,CAR/Sigma
PKI,"July 31, 2015",0.00606150623135,0.6681143809262559
WMT,"September 11, 2013",0.00628993842573,0.698262941190125
HLIT,"January 29, 2016",-0.1450849670432,-3.4501477296475187
BBBY,"January 25, 2013",0.04126291554729,2.737943780385865
RHT,"November 21, 2016",-0.0107979233005,-0.7549956643225629
EA,"September 13, 2016",0.00253290160628,0.2440954924655819
HON,"February 5, 2013",0.0075890550013200005,0.7582487016027527
MSFT,"May 1, 2013",0.0323108901499,4.088237334481129
JCOM,"March 29, 2017",0.004036047157629999,0.27110118493564744
MU,"November 16, 2015",0.007734525824500002,0.21720755679027473
CRM,"July 10, 2014",-0.02407690611282,-0.7234491918852762
JKHY,"May 12, 2016",-0.00828352260371,-0.6234764583384623
AAPL,"August 10, 2016",0.0107394126269442,0.8128620093471608
CTXS,"October 14, 2014",-0.0364386828109,-2.559110411447471
AVP,"February 12, 2015",-0.01677634637381,-0.6267469104089007
INTC,"September 30, 2016",0.008070735879919999,0.6215389275802014
LLNW,"September 17, 2015",-0.010828219094500002,-0.2923554698924059
WMT,"August 5, 2016",0.011495764786680001,0.43768359645302757
TXN,"August 13, 2015",-0.001982043423869999,-0.1837208347424787
BWA,"December 12, 2016",-0.022085713732569998,-1.256646924964045
NOK,"November 10, 2015",-0.01039405217395,-0.5544348718249558
POWI,"December 12, 2016",0.006706917187000002,0.46921499288978985
CSCO,"September 23, 2016",-0.0032871351497850004,-0.5054026725445236
NVS,"June 18, 2015",-0.0016438926213900012,-0.1310004883034699
HPQ,"February 7, 2017",0.0015464915506900002,0.0556806610307413
XLNX,"August 4, 2015",0.00546509959947,0.46331197377290995
ALGN,"November 10, 2015",0.01660856132164,1.3916661482045058
NOK,"December 4, 2014",-0.0311270065236,-1.9410002858777862
EBAY,"November 16, 2015",-0.0009163814217999998,-0.05336108282765052
SHLD,"July 30, 2015",0.16165946759400002,2.7565522251704393
AKAM,"November 16, 2015",-0.02639072243856,-1.704668072124115
HPQ,"August 4, 2015",-0.0121876623412,-0.6671099661548667
INTC,"November 16, 2015",-0.010934565031200001,-0.755034734256347
RHT,"December 16, 2015",-0.01448870376826,-1.207103617511269
