Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap(CAR>%)
MASI,"October 1, 2014",-0.0008155586509940001,-0.017789144078537662,0.42515
EXTR,"May 30, 2008",0.011799097393900001,0.22713301778895456,0.64044
ENZ,"November 1, 2012",-0.024590555724899998,-0.3211093804306021,0.38201
HAE,"January 30, 2009",-0.006013474184180001,-0.13196405816176737,0.46001
WHR,"March 10, 2017",0.021427050550429,0.6669175429302006,0.78268
AKAM,"February 29, 2008",-0.005524737992949995,-0.07373385053048062,0.451
POWI,"March 4, 2014",-0.04292237853137,-1.0864135558234809,0.10644
SNPS,"March 10, 2016",0.0137966290782413,0.46572367644216317,0.68281
POWI,"December 18, 2015",0.00013567162993000353,0.0035143499914935213,0.53126
VSAT,"April 24, 2014",-0.06580423549834,-1.7969678429940779,0.03954
BSX,"May 11, 2011",0.18848940695580002,4.892206878874939,0.99988
SYK,"February 5, 2013",0.012456706762822,0.7458777636125214,0.77581
BSX,"May 12, 2011",0.01358614179075,0.3537611888916308,0.6759
POWI,"December 17, 2015",0.06515380085868,1.6880219556632599,0.94504
MON,"September 21, 2010",-0.057432950289769996,-1.390859373010382,0.07573
MON,"August 1, 2012",0.0163972803247671,0.5904197888448969,0.74357
CGNX,"May 1, 2014",0.03775442702033,1.0705002151686025,0.88736
RDWR,"March 15, 2016",0.008473570469819999,0.1530542443880028,0.52533
ROK,"October 16, 2012",0.033626513234726,1.1619377877113843,0.88612
BRCD,"August 6, 2012",-0.02124534134708,-0.45941087259074087,0.31162
WHR,"March 11, 2010",-0.007647344848309999,-0.19435078670882877,0.43296
PRKR,"October 28, 2013",-0.17147516684602998,-2.8131089434611765,0.0037
NUVA,"September 20, 2011",0.0200391851785,0.4695866622050661,0.67949
GE,"March 8, 2012",0.010528364065329998,0.47977310660557165,0.68539
CIX,"February 25, 2010",-0.03639042826753999,-0.5396493269584404,0.26811
BBY,"December 7, 2012",0.0401511461168,0.6926903749529791,0.78913
LLY,"December 6, 2011",-0.0034315158411120004,-0.17897760445097008,0.42589
DECK,"November 21, 2014",0.029199693323052,0.745847253261933,0.79588
EXTR,"November 5, 2008",0.005656073986840003,0.10493335332904413,0.55315
AAPL,"January 5, 2011",-0.005833187229323997,-0.23237593282232255,0.41395
DEPO,"July 17, 2014",0.09335623328284,1.1231166481075918,0.88107
NKE,"July 15, 2009",-0.018844516433638,-0.4257797973185088,0.32725
POWI,"June 30, 2014",0.039701712877918995,0.7234493536584311,0.84284
AMGN,"October 17, 2008",-0.09343588898634,-2.33124620431429,0.00464
NKE,"February 7, 2012",0.04730593825933001,1.8371707105725787,0.96121
WHR,"May 6, 2016",0.02012787796328,0.5069085395334686,0.70278
BRCD,"June 10, 2013",-0.04642330501817099,-1.4719647806398377,0.06637
LLY,"July 2, 2008",0.004356834463456,0.1568408708127577,0.57683
MON,"November 7, 2011",-0.039101127776620004,-1.1986196617715097,0.10715
MSFT,"December 23, 2016",-0.0091372216197242,-0.4964903859508614,0.30902
WDC,"December 28, 2011",0.014993806175920003,0.2741019728529466,0.62072
DCI,"August 9, 2010",0.003353338015687001,0.1635768527732874,0.56528
AAPL,"September 24, 2015",-0.028667626189422996,-1.1489555605038322,0.12179
JCOM,"December 15, 2016",-0.049542254556399996,-1.6958166084910067,0.03251
POWI,"December 12, 2008",-0.010641379613787999,-0.15026998751225995,0.43996
DEPO,"May 18, 2016",0.10710260211116,1.1359717584457951,0.88404
HON,"February 5, 2014",-0.004112651297954,-0.27746581339007975,0.33749
ALG,"March 8, 2013",-0.03503271496262,-1.0325880157750575,0.13672
ACOR,"December 22, 2015",-0.010714699015109998,-0.19894879599206175,0.43478
IPGP,"December 14, 2012",0.10458394289065,1.8042047973908866,0.97152
BRCD,"January 10, 2013",-0.042691713274372003,-1.0479297062098196,0.13968
