Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap(CAR>%)
MASI,"October 1, 2014",0.03518672941878,0.7675006555571465,0.82456
EXTR,"May 30, 2008",-0.08495279422172,-1.6353441180304964,0.0273
ENZ,"November 1, 2012",-0.02688137769557,-0.3510234837110658,0.37025
HAE,"January 30, 2009",-0.025478826243299998,-0.5591259237646314,0.28814
WHR,"March 10, 2017",-0.025497242069577,-0.7936023669015136,0.12863
AKAM,"February 29, 2008",-0.04669561258462,-0.6232055390024293,0.22698
POWI,"March 4, 2014",0.0547395846175,1.3855202997460805,0.92602
SNPS,"March 10, 2016",0.036044602706505995,1.2167337973045649,0.9506
POWI,"December 18, 2015",0.032865681292055,0.8513313124398406,0.82317
VSAT,"April 24, 2014",0.008483934679950001,0.23167745490055866,0.61306
BSX,"May 11, 2011",0.012265828311449997,0.318357252057385,0.66694
SYK,"February 5, 2013",-0.0132753474329,-0.7948960060602313,0.20084
BSX,"May 12, 2011",-0.019309349759230002,-0.5027842806852115,0.31997
POWI,"December 17, 2015",0.013096768161942,0.339314543652512,0.66834
MON,"September 21, 2010",0.02936418053589,0.7111152312923464,0.77636
MON,"August 1, 2012",-0.01459281040125,-0.5254459193910266,0.3011
CGNX,"May 1, 2014",-0.012220562081089995,-0.34650543975263215,0.32619
RDWR,"March 15, 2016",-0.0168161465088652,-0.303742396030016,0.26058
ROK,"October 16, 2012",-0.0428654269892461,-1.4811812053636588,0.06779
BRCD,"August 6, 2012",0.056648412012820004,1.2249695577268922,0.89829
WHR,"March 11, 2010",-0.053535785933720006,-1.3605666175225892,0.07942
PRKR,"October 28, 2013",0.08142635692530001,1.335827321898457,0.91356
NUVA,"September 20, 2011",-0.020786829462957,-0.48710652545936317,0.3045
GE,"March 8, 2012",-0.0006681029521889996,-0.030445169535844998,0.47791
CIX,"February 25, 2010",0.12595840466702998,1.8678914082457605,0.95836
BBY,"December 7, 2012",0.031891353033143006,0.5501918482232924,0.74331
LLY,"December 6, 2011",-0.0057513946753,-0.299975546930212,0.3806
DECK,"November 21, 2014",-0.01621175010726,-0.4140964480103963,0.32523
EXTR,"November 5, 2008",0.022438746863470003,0.4162910454077983,0.6835
AAPL,"January 5, 2011",-0.03426228947032,-1.364902438973612,0.07763
DEPO,"July 17, 2014",-0.037016459413467,-0.4453243276783484,0.29688
NKE,"July 15, 2009",-0.0402545231334,-0.9095252065103494,0.17377
POWI,"June 30, 2014",0.046214173989764004,0.8421201978252154,0.88207
AMGN,"October 17, 2008",-0.013684960973530001,-0.34144281894075107,0.37623
NKE,"February 7, 2012",0.01403993461575,0.5452540971285512,0.7221
WHR,"May 6, 2016",0.01724147020533,0.434216090595246,0.66866
BRCD,"June 10, 2013",-0.057132811689979995,-1.8115359643967865,0.03399
LLY,"July 2, 2008",0.005859709716908454,0.2109425966073731,0.6035
MON,"November 7, 2011",-0.0069152949810751,-0.21198387367800264,0.40249
MSFT,"December 23, 2016",-0.01278844577699,-0.6948874224330218,0.21974
WDC,"December 28, 2011",0.054844569099368,1.002614307136334,0.85517
DCI,"August 9, 2010",0.015546608082457,0.7583682913954825,0.77922
AAPL,"September 24, 2015",0.00384964495642,0.1542880093879624,0.54365
JCOM,"December 15, 2016",-0.00722993917357,-0.24747866318764222,0.40784
POWI,"December 12, 2008",-0.03528049317223,-0.4982060090731196,0.29731
DEPO,"May 18, 2016",0.17418844770941003,1.8475102690785485,0.97161
HON,"February 5, 2014",-0.014007161658917,-0.9450128934858252,0.13984
ALG,"March 8, 2013",0.0841013255694,2.47888355174355,0.9863
ACOR,"December 22, 2015",-0.12693107558551,-2.3568356540956326,0.00582
IPGP,"December 14, 2012",0.041151220196162006,0.7099104015807947,0.77336
