Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap(CAR>%)
YHOO,"April 29, 2010",-0.00034106813847000015,-0.017440463508918754,0.49636
BBY,"December 7, 2012",0.02042072838697,0.5570349430900213,0.76636
LLY,"December 6, 2011",-0.01655616918561,-1.3653454359582384,0.08367
DECK,"November 21, 2014",-0.008040087054693,-0.3247150066731871,0.34807
EXTR,"November 5, 2008",-0.0430247775036,-1.2620806473930821,0.07956
PWR,"April 13, 2012",0.02271629970236,0.944903803719661,0.88243
CAMT,"August 11, 2011",0.006324542091600001,0.14030139958057275,0.59056
AAPL,"January 5, 2011",-0.0007866343368400002,-0.04954822872982424,0.50173
DEPO,"July 17, 2014",0.008100707399099998,0.154090013858023,0.60679
NKE,"July 15, 2009",-0.00747567251553,-0.2670670601640685,0.3986
POWI,"June 30, 2014",0.004517674711499999,0.13016189118715477,0.54428
AMGN,"October 17, 2008",-0.01508361659413,-0.5950451353239639,0.2299
NKE,"February 7, 2012",0.0019232780955999989,0.11809892435788541,0.56675
WHR,"May 6, 2016",-0.02947044205689,-1.1735139905155647,0.06791
BRCD,"June 10, 2013",-0.01021933507308,-0.512334977273806,0.29301
LLY,"July 2, 2008",0.00546749653703,0.31120510070279317,0.65786
BSX,"August 1, 2008",0.01150639391967,0.4545847025497922,0.71688
VZ,"November 23, 2011",0.007438391658900001,0.6430452805981548,0.73963
MON,"November 7, 2011",-0.0534013349496,-2.5882977326117467,0.01545
BELFA,"August 17, 2011",0.0672347866694,2.10501569216215,0.97945
ABT,"December 18, 2009",0.01513246583766,0.9286098821448115,0.82608
MSFT,"December 23, 2016",-0.002383111550958,-0.2047439419682212,0.43962
WDC,"December 28, 2011",0.026437484241733998,0.7641707304023209,0.81659
DCI,"August 9, 2010",-0.01167082913854,-0.9001527881632418,0.17288
SSNI,"November 14, 2014",-0.00286119078679,-0.04356673492184799,0.40358
AAPL,"September 24, 2015",0.01679837305223,1.0645074971653021,0.87564
JCOM,"December 15, 2016",0.005076927332590001,0.2747730088939472,0.64895
TGT,"August 14, 2013",-0.00512542760733,-0.3841407431382484,0.33773
POWI,"December 12, 2008",-0.005424720931608,-0.12112163363526983,0.4354
FOSL,"March 28, 2016",-0.0426233789936,-0.6564635614660208,0.06822
DEPO,"May 18, 2016",0.006474776223399998,0.10858311081342545,0.53857
LLNW,"July 1, 2016",-0.0481032264748,-0.7148507007954725,0.19213
HON,"February 5, 2014",0.00286380810539,0.3054931743774176,0.6254
ALG,"March 8, 2013",0.05779817594035,2.693626783985499,0.98283
ACOR,"December 22, 2015",0.06832499749080001,2.0059078044874377,0.95392
IPGP,"December 14, 2012",-0.02223042070905,-0.6063711195074354,0.23284
BRCD,"January 10, 2013",0.013976432585060001,0.5424439954013792,0.74617
AMRI,"June 14, 2010",-0.00574500862267,-0.21737961410516002,0.42258
NVO,"September 25, 2009",-0.026352576647689998,-0.883058592114414,0.1599
VRX,"November 14, 2013",-0.006107260868919999,-0.22604179353954276,0.41652
MON,"February 9, 2009",-0.01857392118831,-0.37718636747011886,0.3406
SHLD,"January 3, 2017",-0.020815319213705,-0.4671874254795555,0.3256
IPXL,"June 23, 2014",0.0052693892252009995,0.19000372932765366,0.58947
INTC,"October 8, 2009",-0.004471773055208,-0.2033324338968979,0.4268
MSFT,"December 26, 2012",0.0028268483892100005,0.24960658182288295,0.60935
BMY,"November 5, 2013",-0.00713089513758,-0.38346016120376125,0.34675
NTRA,"July 19, 2016",0.009450027412599999,0.1558792656170092,0.5837
ZBH,"December 30, 2011",-0.02153032284946,-1.3848912413979217,0.08003
POWI,"January 19, 2011",-0.03111586759191,-1.0448802987334995,0.14499
T,"October 7, 2013",-0.0157684442041,-1.2789424356928059,0.07129
NVS,"September 14, 2015",0.01838898900932,1.4613381854415468,0.93215
SUPN,"April 4, 2017",0.0311922822718,0.7515833821661381,0.80132
AMRI,"June 2, 2010",-0.0648760297633,-2.516503308791346,0.00319
YHOO,"May 20, 2016",-0.020341228988870003,-0.7689000580154636,0.20138
EBAY,"May 8, 2013",0.00115047099957,0.05867558696281653,0.54872
HAE,"June 24, 2009",0.0019300957346,0.0662293816205917,0.53953
MMM,"April 29, 2014",-0.001322899678656,-0.12280527585554026,0.42431
JBT,"March 8, 2017",0.017171361446636998,0.8485643501183754,0.84688
JAKK,"September 28, 2010",-0.01217706316724,-0.48347081638159234,0.32714
POWI,"November 16, 2016",-0.0206744683635,-1.033819475409176,0.13218
COST,"July 7, 2009",0.01585935363125,0.6554913134101313,0.74877
NUAN,"May 22, 2013",0.006793513375079999,0.1883934526428011,0.59131
DEPO,"June 9, 2014",-0.0661339703638,-1.5972352845438507,0.03711
AAPL,"February 26, 2013",0.011066847552934,0.4939191866494441,0.71069
MNTA,"December 20, 2013",-0.0142717825048,-0.5100817804353277,0.28506
STI,"April 12, 2011",0.0034271874490000003,0.13813893114536982,0.55627
HOLX,"June 27, 2013",-0.02855168322387,-1.4867295890028025,0.05918
GE,"July 7, 2014",-0.0008315259498000004,-0.09607748385973884,0.46622
MON,"May 12, 2010",0.0018839990737679999,0.10056706183344288,0.53204
MON,"October 8, 2009",0.03316731596068,1.24756708026257,0.89175
YHOO,"January 2, 2013",0.0006671317197590001,0.04177393987892079,0.54095
POWI,"July 3, 2014",0.01761572457847,0.5076575813755929,0.77701
MMM,"November 22, 2011",-0.00270063257321,-0.22902884639324708,0.35848
YHOO,"December 9, 2009",-0.0158079977879,-0.5126136819255219,0.2546
AMGN,"February 16, 2011",0.01343553830559,0.8833178123838114,0.84478
AAPL,"October 31, 2012",-0.01468071238556,-0.6776952969987372,0.2122
GE,"February 10, 2011",-0.0028887486359799996,-0.22926972547827656,0.39479
ITW,"February 9, 2016",0.0020025952840600006,0.19046229264961312,0.57565
BELFA,"January 24, 2011",-0.079165247313,-1.905941009390453,0.02063
YHOO,"September 30, 2011",-0.09678289723030001,-3.7291539929524906,0.00167
AAPL,"February 28, 2013",0.03778929214971,1.659706244062947,0.95513
MON,"March 23, 2009",-0.01148302326296,-0.22096070166751502,0.40834
WHR,"February 17, 2017",0.013621189238720001,0.6609486620508068,0.79679
MON,"July 2, 2012",0.01877866964348,1.0891705981564297,0.88008
MMM,"June 19, 2012",0.0159157473712535,2.107029999598222,0.97168
SYK,"January 28, 2011",-0.03974406936883,-2.2047497097036692,0.0313
RDWR,"September 7, 2016",0.00816666568205,0.2933004482709488,0.63876
AKAM,"July 1, 2016",-0.01978831360006,-0.5943948498927195,0.19979
IPXL,"July 16, 2013",-0.00821132178235,-0.17222979409759107,0.29533
IPXL,"July 16, 2014",0.009256055393910001,0.32570778725926275,0.647
TEX,"July 21, 2011",-0.0014017797181199998,-0.052842165206986896,0.50435
ROK,"October 7, 2013",-0.02079164542632,-1.5036065020709564,0.04714
MSFT,"December 14, 2016",0.00381138727664,0.33308729048061947,0.73567
MGI,"May 17, 2011",-0.0701715881514,-1.7975212784750907,0.02315
GPRO,"May 16, 2017",-0.021084706260000002,-0.45909419905805327,0.27719
ELOS,"December 12, 2014",0.00719149356037,0.34771452313387247,0.66196
SYK,"May 18, 2015",0.010250284238979999,0.9871458458817859,0.85456
MRO,"March 16, 2016",-0.008276883816199999,-0.16036244680220066,0.42836
MMM,"October 29, 2013",-0.00015529390262999996,-0.020354763009738937,0.46409
FOSL,"September 22, 2014",-0.00478323903903,-0.23304028708115795,0.35401
SUPN,"June 19, 2013",0.00893568610091,0.14260996755471098,0.50424
NKE,"February 26, 2008",-0.0017457574421442998,-0.1079713757239124,0.47377
MKSI,"June 28, 2010",-0.025958785225830002,-0.8546776950835664,0.16183
BSX,"March 13, 2012",-0.013082876318972,-0.5776588364503126,0.254
HAS,"November 29, 2010",0.019365861661806,1.0720385038704285,0.86508
CAMT,"August 28, 2009",-0.0799305239941,-0.8692586012462917,0.17563
ALG,"March 2, 2010",0.004305812323,0.11574697331885103,0.55587
RTN,"March 30, 2017",0.00452573994191,0.30974401177968386,0.67005
GEVO,"July 6, 2012",0.0148689995686445,0.22087278074265096,0.60717
MSFT,"June 13, 2014",0.01264002902122,0.7868571261144446,0.81028
WHR,"January 8, 2016",-0.02015647635834,-0.8131657964941232,0.14127
JKHY,"March 31, 2016",0.0096152310358,0.8562396541253983,0.81655
MON,"October 29, 2010",-0.02609418914765,-0.9802636686126188,0.1364
FBC,"May 17, 2010",-0.03474611666377,-0.4423480620332807,0.30836
MON,"August 3, 2011",-0.014687079599284999,-0.7053819906534402,0.20229
COH,"February 22, 2012",-0.00799067056717,-0.3094887683323669,0.34463
MON,"November 20, 2008",0.04022310043358,0.8730518513967972,0.83267
MTSC,"January 4, 2010",0.017213278773600002,0.9413910442731054,0.84059
BKS,"January 12, 2017",0.009778937210177,0.2689344212300977,0.66896
NKE,"March 22, 2012",-0.01676874237834,-1.0884921840087398,0.12165
NKE,"September 3, 2008",0.02190030230808,0.950447396773885,0.87073
BELFA,"July 11, 2011",0.011096456303008,0.36153983916937793,0.64659
WHR,"April 14, 2016",-0.00336001376446,-0.13303309135440447,0.43596
CTXS,"September 26, 2014",0.015576786838170001,0.8859593255580107,0.87683
AAPL,"January 3, 2014",0.013775261266730001,0.6511468686289775,0.78691
LLY,"December 2, 2011",0.0038743211079899998,0.32266453739475737,0.64068
JNJ,"September 29, 2011",0.0124702796466,1.2064228452057195,0.89282
MON,"August 21, 2008",0.0129973770135,0.30103631982260703,0.61902
NTAP,"September 25, 2014",0.0009852664689599996,0.052239798476341505,0.50235
AAPL,"May 5, 2017",0.002583600442568,0.20021920665083845,0.6329
CTXS,"April 28, 2008",0.001516437015341,0.06488227976471973,0.5083
WHR,"November 4, 2016",-0.01362295632552,-0.8856041917682305,0.15491
PH,"August 4, 2008",-0.00723588302947,-0.3123903918747528,0.35554
ABT,"September 30, 2011",-0.00450062255822,-0.4053102949387881,0.34407
AAPL,"January 27, 2017",0.06495808476905,4.030771344252351,0.9938
NUAN,"November 6, 2008",0.021294864947199996,0.6410318095384369,0.76181
AVP,"August 22, 2012",0.0192341410506,0.49541476670141527,0.78604
JNJ,"February 22, 2010",-0.0108848797532648,-1.2507210898824075,0.09216
SYMC,"June 8, 2015",-0.0015093937298399996,-0.09309180465684369,0.4416
AVT,"February 17, 2016",0.00942604173883,0.6255927497463458,0.78405
HAE,"June 1, 2009",-0.009564745825470001,-0.31368699119746873,0.37726
ENR,"November 3, 2008",0.03442428184217,1.2081334296353514,0.92734
POWI,"February 3, 2011",0.03541643638487,1.2346392719023738,0.8979
WHR,"October 28, 2016",-0.004620092702779999,-0.29378261093207086,0.36642
MPWR,"March 3, 2011",0.01128955128348,0.3364263401074205,0.62667
LLY,"May 22, 2017",-0.00836633834833,-0.3861211450567417,0.24706
SUPN,"April 29, 2013",-0.041072376209800004,-0.7292006080039427,0.16945
NKE,"May 15, 2013",-0.012944328780450001,-0.6192344866243598,0.22682
XLNX,"August 30, 2013",0.054270109157,3.5382048695757153,0.99788
SYK,"September 5, 2013",-0.002122265467,-0.24449239971540754,0.39163
FFIV,"September 7, 2016",0.04752986249655,2.0366868158086584,0.96626
SUPN,"May 31, 2013",-0.26830501518390004,-4.459687443707618,0.00152
DG,"July 13, 2016",0.0022780488095999977,0.10280266016908704,0.57972
TWTR,"May 20, 2016",0.01760115751576,0.41170689196717286,0.67616
PRGO,"August 28, 2014",0.0031868480022400007,0.12164242977578439,0.5514
GMED,"April 9, 2014",-0.0009294038016716999,-0.04019192747702128,0.54677
ILMN,"July 1, 2013",-0.025779591682899998,-0.9472560218408075,0.1149
DORM,"December 11, 2009",-0.022181944506600007,-0.5007410491773611,0.2643
XLNX,"October 2, 2013",0.0083627862829,0.552915162066408,0.74861
ABT,"May 22, 2012",-0.00014433513176399999,-0.016663204534666368,0.49524
MMM,"July 12, 2010",-0.009618412276390001,-0.8113627527928224,0.19874
POWI,"February 12, 2009",-0.0210493488313,-0.43139606597536306,0.3088
MON,"October 29, 2008",-0.1206203109947,-3.054786164814378,0.00274
SYK,"January 27, 2009",0.024564409015,0.9140817308793744,0.84117
DECK,"June 14, 2016",0.02914024286328,1.0098630059187481,0.84909
AMGN,"January 7, 2011",-0.00891419140841,-0.6138319725756104,0.25774
WHR,"April 6, 2016",0.0034033040484000004,0.13661997698501427,0.56096
TGT,"November 20, 2012",-0.0031887620404059997,-0.2630710842005206,0.41901
AHPI,"February 12, 2016",-0.03524396292385,-0.7148698087961237,0.19209
DECK,"September 2, 2014",0.011077385121375,0.3871103830522429,0.68533
DECK,"December 2, 2014",0.011427088688522,0.48284428067526763,0.71318
DORM,"January 5, 2010",0.0279243363239,0.6152300486681552,0.76962
MLHR,"July 31, 2013",-0.01692420610614,-0.9086794827200162,0.1093
GMED,"June 24, 2013",-0.032729572063379,-0.961112467920468,0.15429
ITW,"December 10, 2008",0.01924323956988,0.9591426268764065,0.86236
SNY,"September 22, 2016",0.0036847243449180003,0.2249503760691162,0.61805
