Stock_Ticker,Decision_Date,CAR,CAR/Sigma
AAPL,"November 6, 2012",-0.061847961492700006,-2.482698556904579
AAPL,"October 1, 2010",0.02130533290731,0.8125739598980505
BKS,"November 4, 2014",0.03917227662048,0.908742225707976
OSTK,"January 16, 2015",-0.072736104105422,-1.3272720228004966
VAR,"February 23, 2012",-0.03271972936629,-1.849125176451184
AAPL,"September 21, 2016",-0.032276904812269996,-1.0331592680374357
GILD,"December 15, 2016",-0.005278665976412,-0.2334494788982036
MASI,"October 1, 2014",0.0524024869207,0.979641294934217
MSFT,"May 20, 2009",0.01413369583132,0.26839856612819446
MSFT,"April 8, 2009",-0.06859095176387,-1.2983927800061366
AAPL,"February 24, 2015",-0.03211465188818,-1.8123018958326464
TECD,"November 19, 2008",-0.06747236891580001,-1.8994333040497715
EXTR,"May 30, 2008",-0.024652762510369998,-0.620440682231366
MSFT,"March 16, 2010",-0.00513450537346,-0.24040406868454192
GILD,"January 26, 2017",0.047069795517780004,1.6982784977519383
IBM,"February 23, 2011",0.0018234358747999998,0.1659336187805574
MGI,"September 24, 2009",0.04694932189750001,0.3130772428550527
LLNW,"February 29, 2008",-0.4085702549719,-4.141260949994024
AAPL,"October 19, 2015",0.04888946706132,1.3558486214278849
ILMN,"June 19, 2013",0.061947621517439995,1.231340158447413
AVP,"November 18, 2011",0.0004314288839630011,0.019528017459445223
AAPL,"September 14, 2016",0.02668365504452,0.842513094199156
WDC,"July 26, 2011",-0.028033197239621,-1.2894457027942696
CSCO,"May 12, 2016",0.0089339706926025,0.6017125668450639
ENZ,"November 1, 2012",0.2700972111418,3.6572911476739214
ELY,"March 5, 2010",0.029843255984400005,0.785578219197362
AAPL,"November 17, 2014",0.010420013545701,0.3254379679475029
ABT,"June 29, 2009",-0.027021907606490002,-0.5600048566764483
ILMN,"March 14, 2013",0.01553132203114,0.28757973123428776
HAE,"January 30, 2009",0.043165966889779986,1.2066966338711893
WHR,"March 10, 2017",-0.0345985995825536,-1.7598385770405727
AAPL,"December 15, 2016",0.0033531867858887007,0.18942125388420517
BDX,"November 9, 2009",0.0031545158201299987,0.13419444701584737
AKAM,"February 29, 2008",0.14936909789449998,2.7804747912790946
NTGR,"June 13, 2013",0.0051109137199428605,0.10880173022692419
POWI,"March 4, 2014",0.08848977785041551,3.9355724303284894
SSNI,"June 6, 2014",0.014089831674041996,0.29053026950431915
SNPS,"March 10, 2016",0.013886111977175998,0.9692633351166875
LLY,"May 18, 2017",-0.050810142624059994,-3.2002433026666424
POWI,"December 18, 2015",0.01876816062652,0.36179746581701083
VSAT,"April 24, 2014",-0.02035312483039,-0.39107980204610543
BSX,"May 11, 2011",0.01482804871702,0.3297825064377625
CBS,"September 15, 2014",-0.010480069315796,-0.2669818113311126
SYMC,"February 6, 2015",-0.011543962071116999,-0.6360063085076905
SHLD,"May 12, 2017",-0.3302698540438,-2.472919751406918
JNJ,"January 28, 2011",-0.0012286416566897004,-0.1211017959704738
LZB,"March 16, 2016",-0.03422594200388,-0.9879310765462256
GGG,"November 17, 2016",-0.028108146763442,-1.406268124894517
SYK,"February 5, 2013",0.009776151454597,0.7389589146297019
CTXS,"June 18, 2012",0.007624857087688,0.15461867733553214
AVX,"January 26, 2016",0.02348086201682,1.218685564477699
GMED,"June 14, 2013",-0.02312537621816,-0.5612012767755084
BSX,"May 12, 2011",-0.018846248116540003,-0.4205321631922436
FFIV,"March 15, 2016",0.02556632778322,0.7669174777216232
POWI,"December 17, 2015",0.02046533068706999,0.39276940592264264
MON,"September 21, 2010",-0.08269191265917,-1.592243303642093
YHOO,"May 15, 2009",0.0043618206984600005,0.07591516556690663
AAPL,"February 3, 2016",0.07164234289020699,2.707837717863292
HAS,"March 24, 2008",0.010573817321656999,0.22867394389362936
HOLX,"October 17, 2011",0.009130456485463002,0.3033215917350183
MON,"August 1, 2012",0.008627202037410001,0.30915056712477207
CGNX,"May 1, 2015",0.012373622708604998,0.3666199642202712
CGNX,"May 1, 2014",0.042873297613310005,0.9091971484393494
RDWR,"March 15, 2016",0.02186514968991,0.6739954598101985
ROK,"October 16, 2012",0.00945407958836,0.3322796905313844
CSCO,"April 8, 2011",-0.0019917632917000007,-0.029338273848589766
BSX,"May 27, 2008",-0.010333406285003002,-0.29557925326914525
BRCD,"August 6, 2012",0.02769783776002,0.426514215089182
POWI,"June 5, 2015",-0.01030542895316,-0.3602057674586099
FOSL,"April 3, 2014",-0.07259461006698,-2.041005817485471
EA,"December 5, 2014",0.006762455483970999,0.23908343740166826
CSCO,"May 17, 2010",-0.029062121058842,-1.3810127180220841
GILD,"March 24, 2016",-0.003924404633860002,-0.08343934222159372
BSX,"February 11, 2008",0.08529205462836,1.8720015456293326
HOLX,"September 4, 2012",-0.020729517530618,-0.8519190548026229
SPLS,"December 21, 2010",0.028993533369610004,1.3191512238638305
PII,"April 16, 2009",0.11405377863505999,1.7003015146660834
WHR,"March 11, 2010",0.018768209057798003,0.6793548759808867
PRKR,"October 28, 2013",-0.02020697618070002,-0.26114128486288973
CSCO,"March 22, 2013",-0.0032936897018070004,-0.15639035179993166
AVT,"January 28, 2016",-0.013931579949999998,-0.5902008498570424
LLY,"April 21, 2017",-0.04163043450276,-2.013246743331805
NUVA,"September 20, 2011",0.022323367448920002,0.5566657014359437
GE,"March 8, 2012",0.009865832667700001,0.518677638292317
AAPL,"April 23, 2009",-0.023953526599479996,-0.613177556490552
XLNX,"May 18, 2012",-0.017308347038808,-0.7896401824695729
CAMP,"February 24, 2016",-0.06714544106205,-1.077117462210015
VZ,"August 2, 2011",0.030968889661142005,2.2722707824062014
CIX,"February 25, 2010",0.08476939758908,1.3601168414838256
AAPL,"July 8, 2011",0.027748669004109997,1.1413696268460358
IDT,"February 15, 2011",-0.03563758579490001,-0.3448007085998401
TXN,"June 20, 2014",-0.00155891308825,-0.05053537350595394
PRGO,"December 14, 2016",0.015242572580709999,0.3652267435341237
BBY,"December 7, 2012",0.14898568526105,3.5925696593541194
EXTR,"November 5, 2008",0.15031657787435,3.179643452765833
CAMT,"August 11, 2011",0.04669717275749999,0.6833500381860984
BRCD,"June 10, 2013",0.066103338324889,2.5606592959915515
BSX,"August 1, 2008",0.06928757287479001,2.0823825731444066
MON,"November 7, 2011",0.041060936147799994,1.2329694490877114
BELFA,"August 17, 2011",-0.11827682770288998,-2.1477742243325544
ABT,"December 18, 2009",-0.017392799588711,-0.6967278910680499
MSFT,"December 23, 2016",-0.022409469572340003,-1.146727607172214
SSNI,"November 14, 2014",-0.003484705433950002,-0.0393631097417326
AAPL,"September 24, 2015",-0.012129997695799997,-0.36520127132347585
JCOM,"December 15, 2016",-0.01123717848302,-0.2651470495618984
POWI,"December 12, 2008",0.018436158739268,0.21145555268284907
FOSL,"March 28, 2016",-0.09868384012957399,-1.9542972332555197
LLNW,"July 1, 2016",0.008822668575359998,0.1692596248500034
HON,"February 5, 2014",0.005528907686543,0.6361736977842817
ALG,"March 8, 2013",0.053625747907017005,2.4357159056965245
IPGP,"December 14, 2012",0.07178895244863,0.9610874740368293
POWI,"January 19, 2011",-0.07869086754046001,-2.280270569296256
T,"October 7, 2013",0.028891922862614997,1.8360249563725566
SUPN,"April 4, 2017",0.03174637934265,0.6241869921187411
EBAY,"May 8, 2013",0.03902507509146,1.1499076843243998
HAE,"June 24, 2009",0.036702271756140006,0.783357992422887
MMM,"April 29, 2014",0.01045362678351,0.7653144592074576
POWI,"November 16, 2016",0.0028637082359300016,0.1584564527085398
COST,"July 7, 2009",-0.00594291718222,-0.15419593639453458
NUAN,"May 22, 2013",0.025747771568939003,0.6334623207299673
AAPL,"February 26, 2013",-0.07790728616714,-2.1777610679748767
MMM,"November 22, 2011",-4.984686871000073e-05,-0.002651443215083007
GE,"February 10, 2011",-0.024540163175424,-1.442909480785614
YHOO,"September 30, 2011",0.14974684132,3.236977982344017
AAPL,"February 28, 2013",-0.05045020379608,-1.3313677306529044
SYK,"January 28, 2011",-0.013598861234990002,-0.7053103959271515
RDWR,"September 7, 2016",0.04212509303776,1.6339480233507508
AKAM,"July 1, 2016",-0.026308320094406,-0.7895929250760155
MSFT,"December 14, 2016",0.0022171574999190024,0.1150025929883559
MGI,"May 17, 2011",0.007030244884265997,0.12250460455384182
SYK,"May 18, 2015",0.01001735781447,0.5285762175720061
BSX,"March 13, 2012",-1.0075736050000478e-05,-0.00034237808985357733
CAMT,"August 28, 2009",-0.002208294554799997,-0.019456198906234685
RTN,"March 30, 2017",0.00228340709703,0.1157270761375201
MSFT,"June 13, 2014",0.005154322702209998,0.22106096100024147
JKHY,"March 31, 2016",-0.04919356553372,-2.6535201383502813
FBC,"May 17, 2010",-0.1727823341982,-1.0973623067190883
MON,"August 3, 2011",0.006188294695339999,0.23525018557462113
BELFA,"July 11, 2011",0.0050179627150700006,0.12793540925244606
CTXS,"September 26, 2014",-0.030189737783570002,-1.3411988482569517
AAPL,"January 3, 2014",-0.04063803632743,-1.7051482631028014
MON,"August 21, 2008",-0.012810088393433002,-0.2339426324052485
NTAP,"September 25, 2014",-0.04308459781277,-2.158480389755851
AAPL,"May 5, 2017",0.03522160087214,3.711260672466932
CTXS,"April 28, 2008",0.07385975934814,2.170317209024362
PH,"August 4, 2008",0.041812492371830004,1.249383468249917
AVP,"August 22, 2012",-0.03286866793385,-0.7970690995839878
SYMC,"June 8, 2015",0.00036077200365700057,0.010385829154639535
AVT,"February 17, 2016",0.016474392622719998,0.9236153143615705
POWI,"February 3, 2011",0.07521650027127,2.788024662695962
MPWR,"March 3, 2011",-0.06137612677536,-1.4773004261590381
XLNX,"August 30, 2013",0.026321061362548,0.7983044523066551
SYK,"September 5, 2013",0.00740930491781,0.4862361104055234
FFIV,"September 7, 2016",-0.020472932449419997,-0.8164558669544798
GMED,"April 9, 2014",-0.07008525967297,-1.2818605370700455
ILMN,"July 1, 2013",-0.073528814351292,-1.3785784820578102
XLNX,"October 2, 2013",-0.013575121805420002,-0.5466010905530047
ABT,"May 22, 2012",-0.015280416958482,-1.2562977161031061
MON,"October 29, 2008",0.0032168834734899975,0.06213256237222862
GMED,"June 24, 2013",0.07626332099164002,1.4669380049666925
INTC,"September 4, 2015",0.013894519766867001,0.6320679248577123
BBRY,"February 4, 2015",-0.0116679929505226,-0.17840390521912647
DE,"January 27, 2012",-0.01617953902087,-0.5075735658256537
SSNI,"July 26, 2016",-0.005001598842033999,-0.11973655500719042
MON,"October 16, 2008",-0.04497995313154002,-1.051463757455032
ABT,"March 19, 2009",-0.09222156184678999,-2.8748150802539136
ENZ,"November 7, 2012",-0.0875648305975,-1.1317309559944921
BSX,"February 14, 2008",0.05341965734934,1.1748604891764838
CTXS,"September 17, 2012",0.001067550712050001,0.024754459713868367
VZ,"October 14, 2011",-0.013605336638941999,-0.5911708770745308
MON,"April 24, 2008",-0.05498165185481001,-1.127295830258594
AMAT,"July 6, 2010",-0.0367820305663,-1.3663253893327414
ENZ,"November 29, 2012",0.0016498215399000093,0.020156923098447552
MON,"June 15, 2009",-0.02767376109666,-0.8131053708326973
XLNX,"September 4, 2013",0.000321912303822001,0.010659066877517102
PH,"August 29, 2008",-0.007532666683359997,-0.20865716847042728
SNPS,"April 26, 2012",0.018287144332539997,1.4241248648442215
CAMT,"August 17, 2012",-0.021308403956464998,-0.3565544351831886
AAPL,"March 20, 2015",0.01499614234187,0.42485780123689676
NTGR,"December 31, 2009",-0.016341102152948,-0.3729803109543919
SSNI,"December 4, 2014",0.14673321375592,1.7506385863574319
JNJ,"March 31, 2011",0.022056753296022,1.7136264531315129
INTC,"November 10, 2010",0.04921746562291,2.3600005393506702
CAMP,"April 24, 2017",-0.01842406925314,-0.7611142765584781
CSCO,"March 2, 2017",0.0006634721313459992,0.05402594276555722
AAPL,"December 21, 2015",-0.01205014251843,-0.38131983679502574
AAPL,"November 21, 2014",0.0045983178278100004,0.14158224434952735
