Stock_Ticker,Decision_Date,CAR,CAR/Sigma
MASI,"October 1, 2014",0.0345467271713,1.021156015357814
EXTR,"May 30, 2008",-0.00115223168493,-0.04585054398739288
ENZ,"November 1, 2012",0.30899696618100003,6.615514940707295
HAE,"January 30, 2009",0.08847689906433,3.9107182259285342
WHR,"March 10, 2017",0.005094877264986399,0.409749133328518
AKAM,"February 29, 2008",0.06709852266579999,1.9748820681027364
POWI,"March 4, 2014",0.05301243511447,3.7278854846923055
SNPS,"March 10, 2016",-0.000699338107944,-0.07718240734267837
POWI,"December 18, 2015",0.020135403155990002,0.6137254638292479
VSAT,"April 24, 2014",-0.0006019597922300004,-0.018288234356933025
BSX,"May 11, 2011",0.005556832839300002,0.1954073733798556
SYK,"February 5, 2013",0.00221644239754,0.2648980888063334
BSX,"May 12, 2011",-0.008794475536910002,-0.3102803425657087
POWI,"December 17, 2015",0.0325314727886,0.9871715145899307
MON,"September 21, 2010",-0.03299899100549,-1.0046552522420873
MON,"August 1, 2012",0.03657847648926,2.0725055206050684
CGNX,"May 1, 2014",-0.0026513171766999986,-0.08890022620515038
RDWR,"March 15, 2016",0.0035585670252000004,0.17344016203981816
ROK,"October 16, 2012",0.008335017884600001,0.46319203599397535
BRCD,"August 6, 2012",0.01085881594924,0.2643870137776987
WHR,"March 11, 2010",-0.00777027367801,-0.44471336776527226
PRKR,"October 28, 2013",-0.0847728566946,-1.7322119476480864
NUVA,"September 20, 2011",-0.08151115885436,-3.2138220594555644
GE,"March 8, 2012",0.0008276598373800001,0.06879956069747674
CIX,"February 25, 2010",0.13897336558748,3.525645975597267
BBY,"December 7, 2012",0.016268238906,0.6202563238954069
LLY,"December 6, 2011",0.0511872706005,3.6499987300505095
DECK,"November 21, 2014",-0.025730515620329998,-1.0020778590883597
EXTR,"November 5, 2008",0.0757133785126,2.5322942776769204
AAPL,"January 5, 2011",0.0041097576943859,0.31804294338253597
DEPO,"July 17, 2014",-0.029649796760999998,-0.40431226395382797
NKE,"July 15, 2009",-0.01088030507303,-0.3591151381180757
POWI,"June 30, 2014",0.0326743442967,0.5099733911326935
AMGN,"October 17, 2008",0.0330704123627,0.9159428242537827
NKE,"February 7, 2012",0.02284318818898,1.409990814306506
WHR,"May 6, 2016",-0.01766231846372,-0.902987860246988
BRCD,"June 10, 2013",0.025000687229298997,1.5312650023094236
LLY,"July 2, 2008",0.049493860726,2.616486076160198
MON,"November 7, 2011",0.01938740072893,0.920477252609507
MSFT,"December 23, 2016",-0.012615844266920001,-1.0207397200912784
WDC,"December 28, 2011",0.01747299140961,0.38564045381409423
DCI,"August 9, 2010",-0.00044131500653699996,-0.0351745772692024
AAPL,"September 24, 2015",0.011755484173000002,0.5596056463160093
JCOM,"December 15, 2016",-0.01780816343691,-0.6643832229112028
POWI,"December 12, 2008",0.021607274101657997,0.3918489078740268
DEPO,"May 18, 2016",0.0643043950657,1.3262757455052052
HON,"February 5, 2014",-0.000634993501837,-0.11552491456945285
ALG,"March 8, 2013",0.03530950063997,2.53579913815747
ACOR,"December 22, 2015",-0.034571363965538005,-0.9350447494997948
IPGP,"December 14, 2012",0.02569817985317,0.5439734076681921
BRCD,"January 10, 2013",0.0339641435118,1.608234491892027
AMRI,"June 14, 2010",-0.050671080438400004,-2.0363128702144677
VRX,"November 14, 2013",-0.01068577918116,-0.5732368874247673
MON,"February 9, 2009",0.02732650285481,0.5826930687007144
INTC,"October 8, 2009",0.0034947957656,0.18767300654542718
MSFT,"December 26, 2012",0.002070145908628,0.15406186815373063
BMY,"November 5, 2013",-0.0319146890841,-2.6610358365405173
NTRA,"July 19, 2016",0.02017457539846,0.2773564517196717
POWI,"January 19, 2011",-0.02946493381806,-1.3500116708684424
NVS,"September 14, 2015",-0.00807707223956,-0.5191649649731334
SUPN,"April 4, 2017",0.00726321768186,0.22579773290938182
AMRI,"June 2, 2010",-0.02097788189142,-1.0223088825059685
YHOO,"May 20, 2016",-0.030657095556250003,-2.0445426883301354
EBAY,"May 8, 2013",0.02725234462154,1.2696765697730175
HAE,"June 24, 2009",0.022181544278760002,0.748564306557206
JAKK,"September 28, 2010",0.03832557252381,2.0129651680396203
POWI,"November 16, 2016",0.0011075576418500006,0.09689860016461385
COST,"July 7, 2009",0.02342629651707,0.9610520089587686
NUAN,"May 22, 2013",0.0011865019820559999,0.04615509109165045
DEPO,"June 9, 2014",-0.0031073466478499998,-0.05993363512374775
MON,"May 12, 2010",-0.0367609877536,-1.9009580105379638
MON,"October 8, 2009",0.00873405250222,0.4096991874761072
YHOO,"January 2, 2013",-0.02592344791935,-1.5601112377081665
POWI,"July 3, 2014",0.01373428293817,0.21467836692696693
MMM,"November 22, 2011",0.0036448721724600002,0.3065467773479922
AMGN,"February 16, 2011",-0.0310999155755,-1.9050793289807701
AAPL,"October 31, 2012",-0.026760101742090002,-1.6978626141069035
GE,"February 10, 2011",-0.01474433490384,-1.37074551032054
ITW,"February 9, 2016",-0.0013699141594619999,-0.14301797916827955
YHOO,"September 30, 2011",0.0736576311744,2.51750201704974
MON,"March 23, 2009",0.003894152142599999,0.0718761115375868
WHR,"February 17, 2017",-0.0033483124448499997,-0.24840006160228473
MON,"July 2, 2012",-0.010770828803749999,-0.7349200496466215
