Stock_Ticker,Decision_Date,CAR,CAR/Sigma
AAPL,"November 6, 2012",-0.08176536393353,-3.4161687561600873
AAPL,"October 1, 2010",0.007208655920940003,0.2818495495104453
BKS,"November 4, 2014",0.061172400758539996,1.368185936409259
OSTK,"January 16, 2015",-0.12168828620344,-1.9910312494503788
VAR,"February 23, 2012",-0.021493814922659997,-1.2742770646493036
AAPL,"September 21, 2016",-0.04544685305245,-1.4694538139228515
GILD,"December 15, 2016",0.03248201881828,1.4485621565220514
MSFT,"May 20, 2009",-0.016678558750041997,-0.3187722301922343
MSFT,"April 8, 2009",0.021092197644660002,0.36271368696258627
AAPL,"February 24, 2015",0.015272868710490002,0.7403872126674998
TECD,"November 19, 2008",-0.1691923824639,-4.4396223328746025
MSFT,"March 16, 2010",0.001733637746273,0.08348160344991044
GILD,"January 26, 2017",0.02445116243,0.8733718946804135
IBM,"February 23, 2011",0.0055892081631877,0.47630108965343476
MGI,"September 24, 2009",-0.07580655796130001,-0.5038544673054773
LLNW,"February 29, 2008",-0.3570803358169,-3.803206272340872
AAPL,"October 19, 2015",0.01957444445084,0.5528174219179374
ILMN,"June 19, 2013",0.04378769362558,0.8786995673685335
AVP,"November 18, 2011",0.011862653753406002,0.5489279232257632
AAPL,"September 14, 2016",0.09244221574280999,3.017137793101494
TGT,"November 6, 2012",-0.007373275882272002,-0.3965220010537478
WDC,"July 26, 2011",0.060029399743270005,2.552250475712094
MMM,"November 30, 2012",-0.004535232912983701,-0.3111608238706593
CSCO,"May 12, 2016",0.012060521484680002,0.8319451636818154
ELY,"March 5, 2010",0.06507737033,1.7682693801258038
AAPL,"November 17, 2014",0.02384398226008,0.7629349374610817
ABT,"June 29, 2009",-0.001332557728069999,-0.028085559874608968
ILMN,"March 14, 2013",-0.00955776145383,-0.1776729619104977
AAPL,"December 15, 2016",0.02856125182516,1.5801846959138162
BDX,"November 9, 2009",0.02904639513743,1.2647132181493388
NTGR,"June 13, 2013",0.0021120826155500002,0.044440324587041065
SSNI,"June 6, 2014",0.13383314496871,2.582801632634111
LLY,"May 18, 2017",-0.05049089335934,-2.9555884617276997
CBS,"September 15, 2014",-0.005536570849752999,-0.14313187763858667
SYMC,"February 6, 2015",-0.02115615459206,-1.1729112679593177
SHLD,"May 12, 2017",-0.31678747297219995,-2.4274596864172966
JNJ,"January 28, 2011",-0.008510760314665002,-0.773160621997386
LZB,"March 16, 2016",0.027300752570694,0.6964378815843747
GGG,"November 17, 2016",-0.035345743424827,-1.6090196840819906
CTXS,"June 18, 2012",-0.01199254698057,-0.23542396517315234
AVX,"January 26, 2016",0.036934118219,1.9966172485739604
GMED,"June 14, 2013",0.0061930818482599966,0.15258688718490526
FFIV,"March 15, 2016",0.014317144921409999,0.4349909936421739
YHOO,"May 15, 2009",0.0008684092679079984,0.01512779434341815
AAPL,"February 3, 2016",0.014305786690274,0.5321657937424462
HAS,"March 24, 2008",0.02497049276298,0.4508152706294509
HOLX,"October 17, 2011",-0.041965159704918,-1.421443047722613
CGNX,"May 1, 2015",-0.066846578811442,-1.9232866028104265
CSCO,"April 8, 2011",0.052668224877210006,0.7998316355254752
BSX,"May 27, 2008",-0.02312739636014,-0.6226734616243513
FOSL,"April 3, 2014",-0.042397139960329996,-1.1847000642224288
EA,"December 5, 2014",0.053040238456330005,1.6931975956007728
CSCO,"May 17, 2010",-0.057990530274718004,-2.7991466500152904
GILD,"March 24, 2016",0.010481935197369998,0.21844276862564388
BSX,"February 11, 2008",-0.005702384489456997,-0.1280834976987337
HOLX,"September 4, 2012",-0.010414392275987998,-0.4300954432143131
SPLS,"December 21, 2010",0.005079589710600001,0.22983719308885686
PII,"April 16, 2009",0.06802334692139,1.0172708088778155
NATI,"February 29, 2012",-0.03801581994491,-1.0253826568570603
CSCO,"March 22, 2013",-0.042173185167483,-2.046216114688609
AVT,"January 28, 2016",0.012553682881850001,0.5459996244656408
LLY,"April 21, 2017",-0.02721212535394,-1.3331810674279814
AAPL,"April 23, 2009",-0.014468053040404,-0.3852669477871084
XLNX,"May 18, 2012",-0.009455370326039998,-0.4275828835028445
CAMP,"February 24, 2016",-0.03700156381227,-0.5639686552480471
AAPL,"July 8, 2011",0.02156970255232,0.9055864830028358
IDT,"February 15, 2011",-0.03486779888239999,-0.33750607982078035
TXN,"June 20, 2014",-0.012361030914505,-0.4097351711466052
PRGO,"December 14, 2016",0.0235911090918,0.5644938898415753
YHOO,"April 29, 2010",-0.0201477313786197,-0.7205718931198078
PWR,"April 13, 2012",0.039071740600079,1.4797476558294587
CAMT,"August 11, 2011",-0.020930978874470006,-0.2981792934798662
BSX,"August 1, 2008",0.04663375741714,1.3768558374113267
VZ,"November 23, 2011",-0.002796114543082,-0.19051498510579948
BELFA,"August 17, 2011",-0.10308088030981,-1.9308737903151156
ABT,"December 18, 2009",-0.020815686674859998,-0.8424954691427029
SSNI,"November 14, 2014",-0.01975819467427,-0.21008163362842489
TGT,"August 14, 2013",-0.01725327831759,-0.7411405197630215
FOSL,"March 28, 2016",-0.02677201614708,-0.433802036739953
LLNW,"July 1, 2016",-0.009880500904160004,-0.16509247018772066
NVO,"September 25, 2009",-0.047471747213309996,-1.2765926073700815
SHLD,"January 3, 2017",0.22663645307174005,3.4296306886452954
IPXL,"June 23, 2014",0.06439735327399,1.0841245743250643
ZBH,"December 30, 2011",0.005071508302840999,0.20171473124849987
T,"October 7, 2013",0.030608369805087,2.0052918186183266
MMM,"April 29, 2014",0.02938399102504,2.156907390504213
JBT,"March 8, 2017",0.012643925932829998,0.44667360506982084
AAPL,"February 26, 2013",0.009727931376250002,0.2379242732271301
MNTA,"December 20, 2013",-0.043165519988186005,-1.3604107337269142
STI,"April 12, 2011",-0.035061841724892004,-0.8691331741037461
HOLX,"June 27, 2013",0.0006601021973500001,0.019310896199280125
GE,"July 7, 2014",-0.0050217787943,-0.41055643591636426
YHOO,"December 9, 2009",0.02402416231039,0.4932830683009125
BELFA,"January 24, 2011",-0.0995273433941,-1.717173067058336
AAPL,"February 28, 2013",-0.05725482046056,-1.3573787139445657
IPXL,"July 16, 2013",-0.03409094954961,-0.6706117303693829
IPXL,"July 16, 2014",-0.027561750905380003,-0.6166640122352736
TEX,"July 21, 2011",-0.08620179224557001,-2.824624575828487
FOSL,"September 22, 2014",-0.019808478906020003,-0.8502022959723572
CAMT,"August 28, 2009",-0.0021867012862299903,-0.018199609159563257
RTN,"March 30, 2017",-0.006434854805817,-0.3102815274540372
GEVO,"July 6, 2012",0.0033529100459000066,0.04215455030369116
MSFT,"June 13, 2014",0.016873208227229,0.762948890456459
MTSC,"January 4, 2010",0.016593771022040005,0.4941336827762979
BKS,"January 12, 2017",0.042779521587419995,0.7141477545477626
BELFA,"July 11, 2011",0.019580935044069995,0.47798611989831014
