Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
AAPL,"November 6, 2012",TJ|T100|TVA|TVJ|TV100,-0.0234543271318|-0.0211517782729|0.0045565049406|0.0119075628079|-0.0211589975282|-0.00100401116206|-0.00205855049135|0.00982066065151|-0.010970748476|-0.018247016075|-0.0221403187567|0.0365719800501|-0.0249408273857|0.00694559697585|-0.0175902052467|-0.013031473836|-0.0169296442314|-0.0112235083797|-0.0261373035373|0.00738638345696|-0.0114103299623|-0.0255112878448|-0.026684209956|0.0123121388065|-0.0105542725361@0.0111408004635
PHG,"November 21, 2013",TJ,-0.00276035533836|-0.00553370389561|-0.0156483595537|0.00437922033074|0.0131350373315|0.00447046351736|-0.00574950165551|-0.000579595689307|-0.00943089263043|0.0134704473724|3.82275451305e-05|-0.0133098240518|4.17447403248e-06|-0.00434640997712|-0.00943012565887|0.0132279314153|-0.00253441124638|0.0120990167721|-0.00719307831198|0.000412407054968|-0.016616541867|0.00433804841763|-0.00589955412301|-0.00845235951774|0.014480899835@0.00994591314226
AAPL,"October 1, 2010",TJ|T100|TVA|TVJ|TV100,0.000386425671765|0.0195782603299|0.00132460133771|0.0178688073552|0.00245682208698|-0.00107827307807|0.00864570788226|0.00238061734963|0.00582715314498|0.0205071422872|-0.00693336158671|0.0210651381673|0.00359045487834|0.015442701873|0.00686789824518|0.00194193168436|-0.00151528492331|-0.016018124386|0.00379534651688|-0.00691850809892|-0.0042450782053|-0.00668632664809|0.0246078816634|0.00639574192052|0.00123311417678@0.0117257443667
BKS,"November 4, 2014",TJ|T100|TVA|TVJ|TV100,-0.023264191348|0.032817995204|-0.0672537284197|-0.0199650651294|-0.0331665887991|-0.0222489781922|-0.0269363434103|-0.0288166777772|0.0227066448764|0.0420641444544|0.0391337338403|0.000407830892378|0.0464344488915|0.0255271549695|0.00714924665994|-0.0245855804694|0.000898024685798|0.011540774658|0.0271423206229|-0.00145536871924|-0.00446208759169|0.0108051589256|0.0301852054152|-0.00202086795683|0.0046648678282@0.0192776060975
OSTK,"January 16, 2015",TJ|T100|TVA|TVJ|TV100,-0.0119915241448|-0.0788912377916|-0.0276051069655|-0.0114313326236|-0.00729037940418|-0.0307217282339|-0.0291876491071|-0.00106147882462|-0.026033683266|0.0124928038207|-0.0239225347973|0.00350211215651|-0.00518576385172|-0.0128294261348|-0.0223948344881|-0.00631205753222|0.00525678130239|-0.0233364054424|-0.0109265577357|-0.0170942633009|-0.0148734626208|-0.0243579855082|-0.023936538191|0.000296815566188|-0.00986493335161@0.0245078432159
NOK,"March 19, 2014",TJ|T100,0.0147821657209|-0.000947243722062|0.0252689385855|0.00435839006811|0.0206637900219|0.00296204807371|-0.000785645950495|-0.0403098560694|0.0120027621805|-0.00741814057944|0.0038754965778|-0.0184760801033|0.00336966920893|-0.00315514503031|0.0005326429814|-0.00390669544589|-0.00860498603436|0.00590236548638|-0.0098940396645|0.00870710807128|-0.020846194409|-0.0489805123667|-0.0520621857001|-0.00829874370378|0.00226436575624@0.0170289111359
PX,"May 26, 2010",TJ|T100,-0.0307791598925|-0.0153376273436|0.00717882160439|-0.0122179334987|-0.00103281483755|0.00115553819242|-0.00323547115783|0.00882335389504|-0.0145820789424|-0.012579015584|-0.00179651417783|-0.00720105533979|-0.0174543925247|-0.00188294649806|0.00652043843346|-0.0119593175611|0.00532608116746|0.0233003961231|-0.00682730415249|0.0030745764644|0.00857883599778|-0.00767094208192|-0.00842762689792|-0.00309654242187|-0.00431157203455@0.00540258092919
MRO,"September 4, 2015",TJ|T100,-0.0367322644858|-0.00620653133346|0.00293606587549|0.0177252783632|-0.0492879163168|-0.0514619331616|0.0212641563121|0.00977720249782|-0.0518239623598|0.0192046890744|0.0127347907691|-0.0141185340741|0.00832718855982|-0.000128456057309|0.0376571349809|0.0334372969371|0.0132553273727|0.0353999631268|-0.00255429000036|-0.016714076632|0.00410845788274|-0.0260887628177|-0.069532963616|0.00736915776095|0.0204366293207@0.015067755806
CHSCL,"November 25, 2013",TJ|T100,ERROR
CME,"April 15, 2011",TJ|T100,-0.010079116839|0.00420680629302|0.00789854800292|0.0286516551751|-0.00262225466169|-0.0105428431648|0.0037404256437|0.00595118262917|0.012039504744|-0.00354851679547|0.00648938037752|0.00368710076978|-0.000289483948028|0.00961714616227|-0.0037907850444|0.00671376342095|0.00295902613815|0.00158473588586|0.0147305629104|0.00539028483305|0.00122404185936|0.0029466629407|-0.00504663459373|0.0205348986005|-0.00329948669277@0.0161651261206
VAR,"February 23, 2012",TJ|T100|TVA|TVJ|TV100,-0.00355673420039|-0.0269261418082|-0.0217789661143|-0.00907288737329|0.00181824457957|-0.000788877180069|-0.00171256190594|-0.00653775170072|-0.00430297927524|-0.00843540292464|-0.0238784293649|-0.0269078809686|0.00167244514171|-0.00504674302489|0.00646214643702|0.00724004630392|-0.00105985836201|-0.0140300217255|-0.00752409887197|-0.00517036905233|-0.00649149146636|0.00221052072698|-0.00582182576969|-0.00750282710092|-0.0151141057563@0.00791331381998
VIA,"January 23, 2014",TJ,0.015182526134|0.00171884566393|-0.00176951096531|0.00586298348742|0.0114860452275|0.000606613641209|0.00475765678612|0.000306669608831|-0.00313832236823|-0.00323319149812|0.00342845781702|-0.00909685434231|-0.00882148064085|0.000211420224833|-0.00880127249231|0.00451038281315|-0.00513822623762|-0.0163639897165|-0.00818775008944|0.0218080284275|-0.00361263376351|0.00237174952956|0.00264522810075|0.00875877573975|-0.0008087541035@0.0092788132244
AAPL,"September 21, 2016",TJ|T100|TVA|TVJ|TV100,-0.00579363881826|-0.0027744752921|-0.00715978723613|-0.00980120211717|-0.00542810062058|-0.00997264138428|0.00234320730987|-7.78030594059e-05|0.00161871505682|-0.00707945111373|-0.00226730195544|-0.0267883136708|-0.00782925781197|0.010012551167|0.028553525002|0.0284305757789|0.021456134545|-0.0109619862018|-0.0177195824163|-0.00320916860357|-0.00919024630909|-0.0039641160734|-0.0167759673407|0.00332524477688|-0.00567181986596@0.0139713896001
BBT,"March 26, 2010",TJ|T100,0.00589469287112|-0.0430211019795|-0.00922902484368|-0.0208815721843|0.00772050357235|0.00642093492022|0.000410106587356|-0.00117676866245|0.0154496468898|0.0215750164688|0.00807941014216|0.00458749466729|0.013581560891|0.00783494810924|-0.00522103529138|0.00649222886266|-0.00686975275942|-0.00968392680465|-0.00228122233551|0.00779879129261|-0.00693269619649|-0.00983203874328|-0.00848595450127|0.0131034990289|-0.0127843200898@0.0183007352537
BXS,"March 26, 2010",TJ|T100,-0.144469444716|0.0164487580554|-0.0444355714014|-0.000902667554042|-0.0113925466442|0.00725342806974|0.00593832286558|-0.0085960396017|0.00466508892731|0.00513363962784|0.006301027204|0.0212855164834|-0.0011126702186|-0.00227107167413|0.00687503393614|0.0301512474007|0.00488380619251|-0.0103161805354|0.00818061944014|0.014138855987|-0.0024326116365|0.00699514050269|-0.00703161118407|0.00654396381846|0.00992343259952@0.0149851161417
GILD,"December 15, 2016",TJ|T100|TVA|TVJ|TV100,0.00303030719221|-0.00568864392561|-0.00408867032491|3.23644268977e-05|-0.00275021115623|0.0169230605008|0.00193634810967|-0.00716396204237|0.00512905695292|-0.0142650527132|-0.0109094986932|-0.000942798935828|0.00318328579405|0.00472684801239|-0.00819088150991|-0.00315156624499|0.0071351380406|0.0114115629639|0.0202206393993|0.0212309677016|-0.000209575162722|-0.0124755091546|0.00782094387611|-0.00262199508562|0.00220746955042@0.0101122144367
