Stock_Ticker,Decision_Date,Category,"SM_[-60,-30)_[-20,5)_NBS"
AAPL,"November 6, 2012",TJ|T100|TVA|TVJ|TV100,-0.0244067327361|-0.0219875985407|0.00271429277436|0.0110236281582|-0.0235070784686|0.00278463002128|-0.00246000735189|0.0113062471655|-0.0149774603313|-0.0191472239183|-0.0240173040344|0.035968127134|-0.0230662926345|0.00544995564753|-0.0173676533793|-0.0114113758729|-0.0172775710106|-0.0103572988577|-0.0282204018917|0.00877722791837|-0.0130196895066|-0.0206851800304|-0.0286173204232|0.0135610905657|-0.0112982108585@0.0107039742478
PHG,"November 21, 2013",TJ,-0.00128489677194|-0.00867947171896|-0.0170162310924|0.00285826055023|0.00962578741044|0.0019529421137|-0.00919943854339|0.00388110721495|-0.00929501644553|0.00738274520271|-0.00288585784351|-0.0091499558457|0.000572462022325|-0.00477380377578|-0.00889681191653|0.0101303342995|-0.00363868246525|0.00951777592901|-0.00873560158819|0.00144146306801|-0.0118050434929|0.00382072570803|-0.00510903069161|-0.00440478550239|0.0162234120318@0.00990180214501
AAPL,"October 1, 2010",TJ|T100|TVA|TVJ|TV100,0.00324236371395|0.0196147875993|0.00439030494515|0.0168892106123|-0.000753713881581|-0.000285101122066|0.00854554481306|0.00558152060774|0.00717381379466|0.024786127613|-0.00316710936885|0.0205697007137|0.00449893068482|0.0182430737009|0.0102766375169|0.00102758692443|0.000265464392352|-0.0155435109867|0.00421059013948|-0.00951602731062|-0.0054248992481|-0.00797206598662|0.0259110583268|0.0023176147826|0.00221972812677@0.011438048912
BKS,"November 4, 2014",TJ|T100|TVA|TVJ|TV100,-0.014090377513|0.0271429740672|-0.0660118527253|-0.00869255512983|0.00854453201652|-0.00507136260272|0.00178731338481|-0.00420603539133|-0.0125389462635|0.0409277061218|0.0239021276277|-0.00187562471074|0.0482937810196|0.0149450867436|0.0102802698045|0.00252327088955|0.00827793484342|0.0116378778466|0.0313386008911|-0.00426226203246|-0.00180905444815|0.00857893972235|0.0273261766257|0.00440633235498|0.00455752137351@0.0199951838128
OSTK,"January 16, 2015",TJ|T100|TVA|TVJ|TV100,-0.00633440655789|-0.116332335783|-0.0339970217138|-0.00931809129712|-0.0157563615384|-0.0186394212498|-0.0188600236296|0.0010612437724|-0.0182280652763|0.0376995994625|-0.0339416090739|0.0335362719252|-0.0093864386411|-0.0143897815433|-0.0356901594601|0.00663892444631|0.0253354930327|-0.0110557359202|0.00645409366316|-0.0306471010599|-0.0126866215248|-0.0352232092305|-0.0495854480514|-0.00188675533777|0.0142201076874@0.027332898978
NOK,"March 19, 2014",TJ|T100,0.00460986176209|-7.96631003234e-05|0.0250613739898|0.0161716165649|0.00625033620386|0.00168397873315|0.00322056731984|-0.0150441046279|0.0147547472985|-0.00303433415229|0.0133631882206|0.00355783173592|0.0189362955994|7.26489138242e-05|-0.00363686224453|-0.00503095349811|-0.00518940610554|0.00455348767621|-0.00222130889941|0.00179724440268|-0.00617491263241|-0.0188285769529|-0.0281851249292|0.0161076022382|0.00850903669509@0.018085835371
PX,"May 26, 2010",TJ|T100,-0.033349535584|-0.0142853270222|0.00953366996031|-0.0116356631339|0.00060734458757|0.00136023675875|0.00113373688455|0.00799104994558|-0.0149708506051|-0.0097832302939|0.00125315561785|-0.00399568720536|-0.0158140979042|0.000356811874676|0.00877307379528|-0.0118152130061|0.00757114396803|0.021259804017|-0.00306475002012|0.00175105196698|0.01203894847|-0.00842921910648|-0.0053293059386|-0.0017335005723|-0.00432088729618@0.00510069419691
MRO,"September 4, 2015",TJ|T100,-0.0464826464114|0.0233776487856|0.0119753606008|0.0149019586454|-0.0478768686529|-0.0324135550988|0.0102053671821|0.017032359047|-0.0582390046121|0.0249738792738|0.0169657552252|-0.0325827430615|-0.00416367347431|0.00583613070907|0.0648620009862|0.0484357037846|0.0538772021593|0.0159961841545|-0.0137234222263|0.0059687298485|-0.00629607981664|-0.0243033828115|-0.0680244089293|0.0052146716472|0.00887797678486@0.0168290756932
CHSCL,"November 25, 2013",TJ|T100,ERROR
CME,"April 15, 2011",TJ|T100,-0.00710133021312|0.0019677129309|0.00733490697978|0.0252874172385|-0.00910251170636|-0.00995513191845|0.00187349284332|0.00359755759452|0.0123441440785|-0.00347743121869|0.00625420743852|0.0029934216546|0.000302494178307|0.0103679045984|-0.00550517491397|0.00211422352416|-0.000869853655528|-0.000178812323877|0.0107888226566|0.00324373017046|0.00192356743594|0.00131249772747|-0.0103193614254|0.015139935987|-0.00420532445663@0.0157073424909
VAR,"February 23, 2012",TJ|T100|TVA|TVJ|TV100,-0.00135040408306|-0.0261764096934|-0.0208375180739|-0.00762428877188|0.00194413292536|0.000465379357149|-0.00140055486113|-0.00566113684924|-0.00335540439896|-0.00893984992703|-0.0249865409862|-0.0255474874365|0.00247408323914|-0.00497568991219|0.00808134992115|0.00720377141001|-0.000209810625924|-0.0158415273005|-0.00876790378818|-0.0040182603199|-0.00522887218699|0.00311689471069|-0.00659567333828|-0.00699342624696|-0.0165028977052@0.00754335655819
