Stock_Ticker,Decision_Date,Remedy_Amount,"SM_[-2,3)_2LS"
IPXL,"November 30, 2012",569245,0.0038985917775238364
IPXL,"November 7, 2012",569245,-0.0069000766618943134
MU,"May 8, 2013",250000000,0.11651304760830128
MU,"March 21, 2012",8123110,-0.04879016416943217
MU,"March 8, 2010",764839,0.04348511193973889
MU,"March 10, 2009",47845402,0.10536051565782634
MU,"March 10, 2009",133584129,0.10536051565782634
MU,"March 10, 2009",215451713,0.10536051565782634
NVDA,"May 8, 2013",250000000,0.04717521937421491
NVDA,"March 21, 2012",8123110,-0.003430582243754556
NVDA,"March 8, 2010",764839,0.056122113644606
NVDA,"March 10, 2009",47845402,0.1760470372096216
NVDA,"March 10, 2009",133584129,0.1760470372096216
NVDA,"March 10, 2009",215451713,0.1760470372096216
RMBS,"May 8, 2013",250000000,0.10939137802013515
RMBS,"March 21, 2012",8123110,-0.02825466765759975
RMBS,"March 8, 2010",764839,0.04942605462739818
RMBS,"March 10, 2009",47845402,0.15917581602993136
RMBS,"March 10, 2009",133584129,0.15917581602993136
RMBS,"March 10, 2009",215451713,0.15917581602993136
MON,"March 14, 2014",4511111,0.021842777024564816
MON,"March 14, 2014",10886112,0.021842777024564816
MON,"September 21, 2010",2600000,-0.06380529145172656
MON,"September 21, 2010",6300000,-0.06380529145172656
TGT,"February 29, 2008",1372680,-0.03390756320682591
TGT,"February 29, 2008",1368514,-0.03390756320682591
TGT,"February 29, 2008",290489,-0.03390756320682591
TGT,"February 29, 2008",291137,-0.03390756320682591
TGT,"February 29, 2008",881195,-0.03390756320682591
HPQ,"June 2, 2009",943675,0.03927614878433912
HPQ,"June 2, 2009",16791107,0.03927614878433912
HPQ,"June 2, 2009",53494282,0.03927614878433912
HPQ,"May 15, 2009",943675,0.044439388922006565
HPQ,"March 31, 2009",53494282,0.014651389909939722
HPQ,"March 30, 2009",53494282,0.05855474227300059
BMY,"January 30, 2012",900000,-0.008291098834944739
BMY,"January 30, 2012",1258682,-0.008291098834944739
BMY,"January 30, 2012",900000,-0.008291098834944739
BMY,"January 30, 2012",1258682,-0.008291098834944739
BMY,"January 30, 2012",442209362,-0.008291098834944739
BMY,"October 19, 2010",442209362,-0.014647020833829544
CTXS,"September 26, 2014",197597,0.010852073019915181
CTXS,"September 11, 2014",197597,-0.0001395216512709806
CTXS,"April 28, 2008",755663,0.011053196069745558
TGT,"February 29, 2008",1372680,-0.03390756320682591
TGT,"February 29, 2008",290489,-0.03390756320682591
TGT,"February 29, 2008",291137,-0.03390756320682591
TGT,"February 29, 2008",881195,-0.03390756320682591
MSFT,"November 17, 2008",423712,-0.09751450907360379
HON,"February 6, 2014",75000000,0.04516189893211639
HON,"February 5, 2014",75000000,0.02093449518761625
HON,"December 5, 2012",1892551,0.010381391771609266
LMT,"February 6, 2014",75000000,0.04136853119663966
LMT,"February 5, 2014",75000000,0.02758011262742025
LMT,"December 5, 2012",1892551,-0.015118922914697625
BDX,"October 29, 2008",7721183,0.036090044290244046
BDX,"October 29, 2008",50723061,0.036090044290244046
PHG,"January 30, 2009",61039566,0.05006246422708999
BSX,"February 2, 2010",1725000000,-0.06392708730623259
CAJ,"November 19, 2009",1318247,0.0010429222587450826
CAJ,"November 19, 2009",3003465,0.0010429222587450826
CAJ,"September 25, 2008",3003465,-0.07129019909788616
KYO,"November 19, 2009",1318247,-0.03339009374820719
KYO,"November 19, 2009",3003465,-0.03339009374820719
KYO,"September 25, 2008",3003465,-0.028923014426560714
MSFT,"December 4, 2008",9186075,0.12129966495792205
BCR,"March 31, 2009",1900000,0.0065082959173893605
BCR,"March 31, 2009",18558987,0.0065082959173893605
BCR,"March 31, 2009",19000000,0.0065082959173893605
BCR,"July 30, 2008",185589870,-0.03406054691994891
BAX,"March 16, 2012",9305254,-0.003689585173517058
BAX,"March 16, 2012",14266000,-0.003689585173517058
BAX,"April 4, 2008",2905429,-0.0028379037828512588
BAX,"April 4, 2008",14266000,-0.0028379037828512588
HPQ,"April 9, 2008",45300000,-0.020246576828435867
INTC,"April 9, 2008",45300000,-0.029229613713112942
SNPS,"April 26, 2012",675154,0.027361915931464878
SNPS,"November 12, 2010",938957,-0.03260722342136084
SNPS,"September 29, 2010",938957,0.0036210460732809947
MSFT,"April 21, 2009",388000000,-0.04343998298130983
MSFT,"April 8, 2009",388000000,0.043825403597641435
MSTR,"November 20, 2008",138399,-0.018750549878093235
MSTR,"November 20, 2008",2245263,-0.018750549878093235
DISH,"February 8, 2010",5800000,-0.041910981184155004
DISH,"September 4, 2009",90000000,0.059555837458740206
DISH,"September 4, 2009",110000000,0.059555837458740206
DISH,"June 2, 2009",5367544,-0.03444379470290153
DISH,"June 2, 2009",10317108,-0.03444379470290153
DISH,"June 2, 2009",73991964,-0.03444379470290153
DISH,"June 2, 2009",103068836,-0.03444379470290153
DISH,"June 2, 2009",103068836,-0.03444379470290153
CTAA,"October 30, 2012",251245,ERROR
TDA,"October 30, 2012",251245,ERROR
MON,"October 16, 2008",164608,-0.04577787628584375
MON,"October 16, 2008",323140,-0.04577787628584375
PHG,"March 25, 2008",224123,0.03098178204289625
ABT,"May 22, 2012",5949050,0.0030487021277886338
BDX,"May 22, 2012",5949050,-0.0009366853697209861
ENZ,"January 3, 2014",12428728,0.0034542348680873976
ENZ,"November 29, 2012",48587500,0.09531017980432464
ENZ,"November 7, 2012",48587500,-0.03663413317978019
ENZ,"November 1, 2012",48587500,0.28517894223366247
GE,"January 3, 2014",12428728,-0.021747850633147943
GE,"November 29, 2012",48587500,-0.011461410386742523
GE,"November 7, 2012",48587500,-0.014654571391192434
GE,"November 1, 2012",48587500,0.007030578381689586
COST,"July 16, 2009",448033,0.07494967147540901
COST,"July 7, 2009",642500,-0.006353470548023984
COST,"July 6, 2009",815512,0.005229057207088023
COST,"June 30, 2009",994241,-0.03607949815920474
WMT,"July 16, 2009",448033,0.02048727755348112
WMT,"July 7, 2009",642500,-0.0060132618981362405
WMT,"July 6, 2009",815512,-0.0014462710977046905
WMT,"June 30, 2009",994241,-0.028060450464221353
ABT,"May 22, 2012",5949050,0.0030487021277886338
BDX,"May 22, 2012",5949050,-0.0009366853697209861
LEA,"March 16, 2011",113516,-0.03548316255786363
LEA,"March 16, 2011",240500,-0.03548316255786363
LEA,"February 25, 2011",240500,-0.05295119431678029
LEA,"February 10, 2011",240500,0.00979356939036201
KODK,"June 17, 2014",184812,-0.09059395843214452
KODK,"June 17, 2014",147184,-0.09059395843214452
HON,"June 17, 2014",184812,0.008293598682407005
HON,"June 17, 2014",147184,0.008293598682407005
PHG,"June 17, 2014",184812,0.0015905721502412731
PHG,"June 17, 2014",147184,0.0015905721502412731
NOK,"June 17, 2014",184812,0.03428261459652373
NOK,"June 17, 2014",147184,0.03428261459652373
POWI,"February 3, 2011",633206,0.13765230954249755
POWI,"February 3, 2011",6116720,0.13765230954249755
POWI,"February 3, 2011",6116720,0.13765230954249755
POWI,"January 26, 2011",633206,0.0032805351329398755
POWI,"January 26, 2011",6116720,0.0032805351329398755
POWI,"January 26, 2011",6116720,0.0032805351329398755
POWI,"January 19, 2011",6116720,-0.0917689012871298
